Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3",Cell 2,The UE camps on Cell 2 and fulfils low mobility (lowMobilityEvalutation [2]) criterion.
,Neighbour cell,,"1, 2, 3",Cell 1,
T1 final condition,Active cell,,"1, 2, 3",Cell 1,The UE reselects to low priority Cell 1 during T1
,Neighbour cell,,"1, 2, 3",Cell 2,
T2 final condition,Active cell,,"1, 2, 3",Cell 2,The UE reselects to high priority Cell 2 during T2
,Neighbour cell,,,Cell 1,
RF Channel Number,,,"1, 2, 3","1, 2",
Time offset between cells,,,"1, 2, 3",3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,SSB.3 FR2,
,,,2,SSB.13 FR2,
,,,3,SSB.14 FR2,
SMTC configuration,,,"1, 2, 3",SMTC pattern 1,
DRX cycle length,,s,"1, 2, 3",0.64,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2, 3",190,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",240,T1 needs to be long enough to allow cell re-selection to already known Cell 1
T2,,s,"1, 2, 3",240,T2 needs to be long enough to allow cell re-selection to already known Cell 2
