Parameter,Unit,Configuration,Cell 2,,
,,,T1,T2,T3
RF channel number,,"1, 2, 3, 4, 5, 6",2,,
Duplex mode,,"1, 2, 3",FDD,,
,,"4, 5, 6",TDD,,
TDD special subframe configurationNote1,,"4, 5, 6",6,,
TDD uplink-downlink configurationNote1,,"4, 5, 6",1,,
BWchannel,MHz,"1, 2, 3, 4, 5, 6","10 MHz: NPRB,c = 50",,
PDSCH parameters:DL Reference Measurement ChannelNote2,,"1, 2, 3",10 MHz: R.3 FDD,,
,,"4, 5, 6",10 MHz: R.0 TDD,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote2,,"1, 2, 3",10 MHz: R.6 FDD,,
,,"4, 5, 6",10 MHz: R.6 TDD,,
OCNG PatternsNote2,,"1, 2, 3",10 MHz: OP.10 FDD,,
,,"4, 5, 6",10 MHz: OP.1 TDD,,
PBCH_RA,dB,"1, 2, 3, 4, 5, 6",0,,
PBCH_RB,,,,,
PSS_RA,,,,,
SSS_RA,,,,,
PCFICH_RB,,,,,
PHICH_RA,,,,,
PHICH_RB,,,,,
PDCCH_RA,,,,,
PDCCH_RB,,,,,
PDSCH_RA,,,,,
PDSCH_RB,,,,,
OCNG_RANote3,,,,,
OCNG_RBNote3,,,,,
NocNote4,dBm/15 kHz,"1, 2, 3, 4, 5, 6",-106,,
Ês/Noc,dB,"1, 2, 3, 4, 5, 6",-Infinity,7,7
Ês/IotNote5,dB,"1, 2, 3, 4, 5, 6",-Infinity,7,7
RSRPNote5,dBm/15 kHz,"1, 2, 3, 4, 5, 6",-Infinity,-99,-99
SCH_RPNote5,dBm/15 kHz,"1, 2, 3, 4, 5, 6",-Infinity,-99,-99
Propagation Condition,,"1, 2, 3, 4, 5, 6",AWGN,,
Antenna Configuration and Correlation Matrix,,"1, 2, 3, 4, 5, 6",1x1,,
"NOTE 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211 [23].NOTE 2:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 [15] respectively.NOTE 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 4:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 5:Ês/Iot, RSRP, and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,
