Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1,2,3,4",Cell 1,Cell 1 is the reference cell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,"1,2,3,4",Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData TS 37.355 [34].
RF Channel Number,,"1,2,3,4",1,For both Cell 1 and Cell 2
BWchannel,MHz,"1,4","10: NRB,c = 52",
,,2,"10: NRB,c = 52",
,,3,"20: NRB,c = 52",
SSB configuration,,"1,4",SSB.4 RedCap FR1,
,,2,SSB.4 RedCap FR1,
,,3,SSB.5 RedCap FR1,
SMTC configuration,,"1,4",SMTC.1 RedCap,
,,2,SMTC.1 RedCap,
,,3,SMTC.1 RedCap,
Measurement gap,,"1,2,3,4",GP#24 or GP#0 Note 1,
CP length,,"1,2,3,4",Normal,
DRX,,"1,2,3,4",OFF,
Time offset between serving and neighbour cells,s,"1,2,3,4",3,Synchronous cells
T1,s,"1,2,3,4",5,
T2,s,"1,2,3,4",10,
"NOTE 1:GP#24 is configured if UE supports GP#24, otherwise GP#0 is configured.",,,,
