Parameter,Unit,Configuration,Cell 2,
,,,T1,T2
RF channel number,,"1, 2, 3, 4, 5, 6, 7, 8",2,
Duplex mode,,"1, 2, 3, 7",FDD,
,,"4, 5, 6, 8",TDD,
TDD special subframe configurationNote1,,"4, 5, 6, 8",6,
TDD uplink-downlink configurationNote1,,"4, 5, 6, 8",1,
BWchannel,MHz,"1, 2, 3, 4, 5, 6, 7, 8","5 MHz: NPRB,c = 2510 MHz: NPRB,c = 5020 MHz: NPRB,c = 100",
PRACH ConfigurationNote2,,"1, 2, 3, 7",4,
,,"4, 5, 6, 8",53,
PDSCH parameters:DL Reference Measurement ChannelNote3,,"1, 2, 3, 7",5 MHz: R.7 FDD10 MHz: R.3 FDD20 MHz: R.6 FDD,
,,"4, 5, 6, 8",5 MHz: R.4 TDD10 MHz: R.0 TDD20 MHz: R.3 TDD,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote3,,"1, 2, 3, 7",5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD,
,,"4, 5, 6, 8",5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD,
OCNG PatternsNote3,,"1, 2, 3, 7",5 MHz: OP.20 FDD10 MHz: OP.10 FDD20 MHz: OP.17 FDD,
,,"4, 5, 6, 8",5 MHz: OP.9 TDD10 MHz: OP.1 TDD20 MHz: OP.7 TDD,
PBCH_RA,dB,"1, 2, 3, 4, 5, 6, 7, 8",0,
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
PDSCH_RA,,,,
PDSCH_RB,,,,
OCNG_RANote4,,,,
OCNG_RBNote4,,,,
NocNote5,dBm/15 kHz,"1,2,3,4,5,6,7,8",-98,
Ês/Noc,dB,"1,2,3,4,5,6,7,8",-Infinity,4
Ês/IotNote6,dB,"1,2,3,4,5,6,7,8",-Infinity,4
RSRPNote6,dBm/15 kHz,"1,2,3,4,5,6,7,8",-Infinity,-94
SCH_RPNote6,dBm/15 kHz,"1,2,3,4,5,6,7,8",-Infinity,-94
IoNote6,dBm/9 MHz,"1,2,3,4,5,6,7,8",-70.22,-64.76
Propagation Condition,,"1,2,3,4,5,6,7,8",AWGN,
Antenna Configuration,,,1x1,
"NOTE 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211 [23].NOTE 2:PRACH configurations are specified in table 5.7.1-2 and table 5.7.1-3 in TS 36.211 [23].NOTE 3:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 [15] respectively.NOTE 4:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 5:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 6:Ês/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 7:Propagation condition and correlation matrix are defined in clause B.2 in TS 36.101 [25].",,,,
