Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,"1, 2, 3",TDDConf.3.1,,,TDDConf.3.1,,
PDSCH RMC configuration,,1,SR.3.1 TDD,,,SR.3.1 TDD,,
,,2,SR.3.1 TDD,,,SR.3.1 TDD,,
,,3,SR.3.1 TDD,,,SR.3.1 TDD,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,,CR.3.1 TDD,,
,,2,CR.3.1 TDD,,,CR.3.1 TDD,,
,,3,CR.3.1 TDD,,,CR.3.1 TDD,,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,,CCR.3.1 TDD,,
,,2,CCR.3.1 TDD,,,CCR.3.1 TDD,,
,,3,CCR.3.1 TDD,,,CCR.3.1 TDD,,
SSB configuration,,1,SSB.3 FR2,,,SSB.7 FR2,,
,,2,SSB.13 FR2,,,SSB.17 FR2,,
,,3,SSB.14 FR2,,,SSB.18 FR2,,
OCNG Pattern,,"1, 2, 3",OP.4,,,OP.4,,
BWchannel,MHz,1,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
,,2,"400: NPRB,c = 66",,,"400: NPRB,c = 66",,
,,3,"400: NPRB,c = 33",,,"400: NPRB,c = 33",,
Data PRBs allocated,,"1, 2, 3",66,,,66,,
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3",SSB,,,SSB,,
Qrxlevmin,dBm/SCS,1,-138,,,-138,,
,,2,-132,,,-132,,
,,3,-129,,,-129,,
Pcompensation,dB,"1, 2, 3",0,,,0,,
Qhysts,dB,"1, 2, 3",0,,,0,,
"Qoffsets, n",dB,"1, 2, 3",0,,,0,,
Cell_selection_and_re-selection_quality_measurement,,"1, 2, 3",SS-RSRP,,,SS-RSRP,,
AoA setup,,"1, 2, 3",Setup 1 defined in A.3.15.1,,,Setup 1 defined in A.3.15.1,,
,dB,"1, 2, 3",8,-3,1.5,-infinity,1.5,-3
,,,,,,,,
Beam assumptionNote 4,,"1, 2, 3",Rough,,,,,
Note2,dBm/SCS,1,-93,,,,,
,,2,-93,,,,,
,,3,-90,,,,,
Note2,dBm/15 kHz,1,-102,,,,,
,,2,,,,,,
,,3,,,,,,
,dB,"1, 2, 3",8,-3,1.5,-infinity,1.5,-3
,,,,,,,,
SS-RSRP Note3,dBm/SCS,1,-85,-96,-91.5,-infinity,-91.5,-96
,,2,-85,-96,-91.5,-infinity,-91.5,-96
,,3,-82,-93,-88.5,-infinity,-88.5,-93
Io on SSB symbols,dBm/95.04 MHz,1,-55.37,-63.25,-60.19,-64.01,-60.19,-63.25
of each cell,dBm/380.16 MHz,2,-55.37,-63.25,-60.19,-64.01,-60.19,-63.25
,dBm/380.16 MHz,3,-55.38,-63.26,-60.20,-64.02,-60.20,-63.26
Tre-selection,s,"1, 2, 3",0,0,0,0,0,0
SintrasearchP,dB,"1, 2, 3",50,,,50,,
Propagation Condition,,"1, 2, 3",AWGN,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
