Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3, 4",Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,"1, 2, 3, 4",Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,"1, 2, 3, 4",1,For both Cell 1 and Cell 2
BWchannel,MHz,"1, 2, 4","10: NRB,c = 52",
,,3,"20: NRB,c = 51",
SSB configuration,,"1, 2, 4",SSB.4 RedCap FR1,
,,3,SSB.5 RedCap FR1,
SMTC configuration,,"1, 4",SMTC.1 RedCap,
,,"2, 3",SMTC.1 RedCap,
CP length,,"1, 2, 3, 4",Normal,
DRX cycle,,"1, 2, 3, 4",1.28s,
eDRX cycle length (for both RAN and CN),s,"1, 2, 3, 4",40.96,
PTW window length,s,"1, 2, 3, 4",1.28,
Reporting periodicity,s,"1, 2, 3, 4",20,reportingInterval for periodic reporting defined in TS 37.355 [34]
Time offset between serving and neighbour cells,s,"1, 2, 3, 4",3,Synchronous cells
Expected RSTD,s,"1, 2, 3, 4",3,
Expected RSTD uncertainty,s,"1, 2, 3, 4",5,
T1,s,"1, 2, 3, 4",5,
T2,s,"1, 2, 3, 4",10,
