Parameter,,Unit,Test configuration,Value,Comment
,,,,,
Initial condition,Active cell,,"1, 2, 3, 4",Cell1,
T2 end condition,Active cell,,"1, 2, 3, 4",Cell2,
,Neighbour cells,,"1, 2, 3, 4",Cell1,
RF Channel Number,,,"1, 2, 3, 4",1,
Time offset between cells,,,"1, 4",3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3, 4",Not Sent,No additional delays in random access procedure.
SSB configuration,,,"1, 4",SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.2 FR1,
SMTC configuration,,,"1, 4",SMTC.2,Configured in SIB2 of Cell 1
,,,2,SMTC.1,
,,,3,SMTC.1,
DRX cycle length,,s,"1, 2, 3, 4",1.28,The value shall be used for all cells in the test.
CN and RAN eDRX configuration,,,"1, 2, 3, 4",eDRX cycle = 40.96sPTW length = 1.28s,
PRACH configuration index,,,"1, 2, 3, 4",102,The detailed configuration is specified in TS 38.211 [6] clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3, 4",Not configured,
T1,,s,"1, 2, 3, 4",>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2"
T2,,s,"1, 2, 3, 4",120,T2 needs to be defined so that cell re-selection reaction time is taken into account.
