Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3, 4",Cell 1,
Neighbour cell,,"1, 2, 3, 4",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4",1: Cell 1 and Cell 2,
SSB configuration,,"1, 4",SSB.1 FR1,
,,2,SSB.1 FR1,
,,3,SSB.1 RedCap FR1,
SMTC configuration,,"1, 4",SMTC.2,
,,2,SMTC.1,
,,3,SMTC.1,
A3-Offset,dB,"1, 2, 3, 4",-4.5,
CP length,,"1, 2, 3, 4",Normal,
Hysteresis,dB,"1, 2, 3, 4",0,
Time To Trigger,s,"1, 2, 3, 4",0,
Filter coefficient,,"1, 2, 3, 4",0,L3 filtering is not used
DRX,,"1, 2, 3, 4",,OFF
Time offset between serving and neighbour cells,,"1, 4",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,2,3 ms,Synchronous cells
,,3,3 ms,Synchronous cells
T1,s,"1, 2, 3, 4",5,
T2,s,"1, 2, 3, 4",5,
T3,s,"1, 2, 3, 4",5,
