Parameter,,Config,Unit,Test 1,,,Test 2,,
,,,,Cell 1,,Cell 2,Cell 1,,Cell 2
SSB ARFCN,,1~4,,freq1,,freq2,freq1,,freq2
BWchannel,,"1,4",MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,
,,2,,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,
,,3,,"20: NPRB,c = 51",,,"20: NPRB,c = 51",,
Duplex mode,,1,,FDD,,,FDD,,
,,2,,TDD,,,TDD,,
,,3,,TDD,,,TDD,,
,,4,,HD-FDD,,,HD-FDD,,
TDD configuration,,1,,N/A,,,N/A,,
,,2,,TDDConf.1.1,,,TDDConf.1.1,,
,,3,,TDDConf.2.1,,,TDDConf.2.1,,
PDSCH Reference measurement channel,,"1,4",,SR.1.1 FDD,,-,SR.1.1 FDD,,-
,,2,,SR.1.1 TDD,,,SR.1.1 TDD,,
,,3,,SR.2.1 TDD,,,SR.2.1 TDD,,
RMSI CORESET Reference Channel,,"1,4",,CR.1.1 FDD,,-,CR.1.1 FDD,,-
,,2,,CR.1.1 TDD,,-,CR.1.1 TDD,,-
,,3,,CR.2.1 TDD,,-,CR.2.1 TDD,,-
Dedicated CORESET Reference Channel,,"1,4",,CCR.1.1 FDD,,-,CCR.1.1 FDD,,-
,,2,,CCR.1.1 TDD,,-,CCR.1.1 TDD,,-
,,3,,CCR.2.1 TDD,,-,CCR.2.1 TDD,,-
SSB configuration,,"1,4",,SSB.1 FR1,,,SSB.1 FR1,,
,,2,,SSB.1 FR1,,,SSB.1 FR1,,
,,3,,SSB.1 RedCap FR1,,,SSB.1 RedCap FR1,,
OCNG Patterns,,1~4,,OP.1,,,OP.1,,
TRS configuration,,"1,4",,TRS.1.1 FDD,,-,TRS.1.1 FDD,,
,,2,,TRS.1.1 TDD,,,TRS.1.1 TDD,,
,,3,,TRS.1.2 TDD,,,TRS.1.2 TDD,,
Initial BWP Configuration,,1~4,,DLBWP.0.1ULBWP.0.1,,,DLBWP.0.1ULBWP.0.1,,
