Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,"1, 4",N/A,,,N/A,,
,,2,TDDConf.1.1,,,TDDConf.1.1,,
,,3,TDDConf.2.1,,,TDDConf.2.1,,
PDSCH RMC,,"1, 4",SR.1.1 FDD,,,SR.1.1 FDD,,
configuration,,2,SR.1.1 TDD,,,SR.1.1 TDD,,
,,3,SR.2.1 TDD,,,SR.2.1 TDD,,
RMSI CORESET,,"1, 4",CR.1.1 FDD,,,CR.1.1 FDD,,
RMC configuration,,2,CR.1.1 TDD,,,CR.1.1 TDD,,
,,3,CR.2.1 TDD,,,CR.2.1 TDD,,
Dedicated CORESET,,"1, 4",CCR.1.1 FDD,,,CCR.1.1 FDD,,
RMC configuration,,2,CCR.1.1 TDD,,,CCR.1.1 TDD,,
,,3,CCR.2.1 TDD,,,CCR.2.1 TDD,,
OCNG Pattern,,"1, 2, 3, 4",OP.1,,,OP.1,,
Initial DL BWP configuration,,"1, 2, 3, 4",DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3, 4",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3, 4",SSB,,,SSB,,
Qrxlevmin,dBm/SCS,"1, 2, 4",-140,,,-140,,
,,3,-137,,,-137,,
Pcompensation,dB,"1, 2, 3, 4",0,,,0,,
Cell_selection_and_re-selection_quality_measurement,,"1, 2, 3, 4",SS-RSRP,,,SS-RSRP,,
,dB,"1, 4",14,14,14,-4,-infinity,12
,,2,,,,,,
,,3,,,,,,
Note2,dBm/SCS,"1, 4",-98,,,,,
,,2,-98,,,,,
,,3,-95,,,,,
Note2,dBm/15 kHz,"1, 4",-98,,,,,
,,2,,,,,,
,,3,,,,,,
,dB,"1, 4",14,14,14,-4,-infinity,12
,,2,,,,,,
,,3,,,,,,
SS-RSRP Note3,dBm/SCS,"1, 4",-84,-84,-84,-102,-infinity,-86
,,2,-84,-84,-84,-102,-infinity,-86
,,3,-81,-81,-81,-99,-infinity,-83
Io,dBm/9.36 MHz,"1, 4",-55.88,-55.88,-55.88,-68.60,-70.05,-57.78
,dBm/9.36 MHz,2,-55.88,-55.88,-55.88,-68.60,-70.05,-57.78
,dBm/18.36 MHz,3,-52.95,-52.95,-52.95,-65.67,-67.12,-54.85
Tre-selection,s,"1, 2, 3, 4",0,0,0,0,0,0
SnonintrasearchP,dB,"1, 2, 3, 4",50,,,50,,
"Threshx, highP",dB,"1, 2, 3, 4",48,,,48,,
"Threshserving, lowP",dB,"1, 2, 3, 4",44,,,44,,
"Threshx, lowP",dB,"1, 2, 3, 4",50,,,50,,
Propagation Condition,,"1, 2, 3, 4",AWGN,,,,,
Antenna Configuration,,,1x2,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
