Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3, 4",Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,"1, 2, 3, 4",Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,"1, 2, 3, 4",1,For both Cell 1 and Cell 2
BWchannel,MHz,"1, 2, 4","50: NRB,c = 270",
,,3,"100: NRB,c = 273",
SSB configuration,,"1, 2, 4",SSB.1 FR1,
,,3,SSB.1 RedCap FR1,
SMTC configuration,,"1, 2, 3, 4",SMTC.1,
Measurement gap,,"1, 2, 3, 4",GP#24 or GP#0 Note 1,
CP length,,"1, 2, 3, 4",Normal,
DRX,,"1, 2, 3, 4",OFF,
Time offset between serving and neighbour cells,s,"1, 2, 3, 4",3,Synchronous cells
PRS RX hopping request,,"1, 2, 3, 4",Requested,
T1,s,"1, 2, 3, 4",5,
T2,s,"1, 2, 3, 4",10,
"NOTE 1:GP#24 is configured if RedCap UE supports MG#24, otherwise GP#0 is configured.",,,,
