Parameter,Unit,Config,Test1,Test2
SSB ARFCN,,"1,2,3",Freq1,Freq1
TDD configuration,,1,Not Applicable,
,,2,TDDConf.1.1,
,,3,TDDConf.2.1,
,,4,Not Applicable,
BWchannel,MHz,1,"10: NPRB,c = 52",
,,2,"10: NPRB,c = 52",
,,3,"20: NPRB,c = 51",
,,4,"10: NPRB,c = 52",
Initial BWP Configuration,,"1,2,3,4",DLBWP.0.1ULBWP.0.1,
Dedicated BWP Configuration,,"1,2,3,4",DLBWP.1.1ULBWP.1.1,
DRX Cycle,ms,"1,2,3,4",N/A,DRX.8Note5
PDSCH Reference measurement channel,,1,SR.1.1 FDD,
,,2,SR.1.1 TDD,
,,3,SR.2.1 TDD,
,,4,SR.1.1 FDD,
RMSI CORESET Reference Channel,,1,CR.1.1 FDD,
,,2,CR.1.1 TDD,
,,3,CR.2.1 TDD,
,,4,CR.1.1 FDD,
Dedicated CORESET Reference Channel,,1,CCR.1.1 FDD,
,,2,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,
,,4,CCR.1.1 FDD,
OCNG Patterns,,"1,2,3,4",OP.1,
,,,,
SSB configuration,,"1,2,4",SSB.1 FR1,
,,3,SSB. 1 RedCap FR1,
SMTC Configuration,,"1,2,4",SMTC.1,
,,3,SMTC.2,
TRS configuration,,1,TRS.1.1 FDD,
,,2,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,
,,4,TRS.1.1 FDD,
EPRE ratio of PSS to SSS,dB,"1,2,3,4",0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Note2,dBm/15 kHz,"1,2,3,4",-98,-98
Note2,dBm/SCS,"1,2,4",-98,-98
,,3,-95,-95
,,"1,2,3,4",3,3
,,"1,2,3,4",3,3
SS-RSRPNote3,dBm/SCS,"1,2,4",-95,-95
,,3,-92,-92
IoNote3,dBm/9.36 MHz,"1,2,4",-65.2,-65.2
,dBm/18. 36 MHz,3,-62.36,-62.36
Propagation condition,,"1,2,3,4",AWGN,
Antenna Configuration,,,1x1,
SRS Config,,"1,2,4",SRSConf.1Note6,SRSConf.3Note6
,,3,SRSConf.1Note6,SRSConf.2Note6
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.16.4.1.1.1-3,,,,
