Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 4",N/A,,N/A,
,,2,TDDConf.1.1,,TDDConf.1.1,
,,3,TDDConf.2.1,,TDDConf.2.1,
PDSCH RMC configuration,,"1, 4",SR.1.1 FDD,,N/A,
,,2,SR.1.1 TDD,,,
,,3,SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,"1, 4",CR.1.1 FDD,,N/A,
,,2,CR.1.1 TDD,,,
,,3,CR.2.1 TDD,,,
Dedicated CORESET RMC configuration,,"1, 4",CCR.1.1 FDD,,N/A,
,,2,CCR.1.1 TDD,,,
,,3,CCR.2.1 TDD,,,
OCNG Patterns,,"1, 2, 3, 4",OP.1,,OP.1,
EPRE ratio of PSS to SSS,dB,"1, 2, 3, 4",0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
EPRE ratio of PRS to SSS,,,,,,
TRS Configuration,,"1, 4",TRS.1.1 FDD,,N/A,
,,2,TRS.1.1 TDD,,,
,,3,TRS.1.2 TDD,,,
Initial BWP configuration,,"1, 2, 3, 4",DLBWP.0.1 ULBWP.0.1,,N/A,
Active DL BWP configuration,,"1, 2, 3, 4",DLBWP.1.1 RedCap,,N/A,
Active UL BWP configuration,,"1, 2, 3, 4",ULBWP.1.1 RedCap,,N/A,
PRS configuration,,"1, 4",PRS.1.5 FR1,,PRS.1.5 FR1,
,,2,PRS.1.5 FR1,,PRS.1.5 FR1,
,,3,PRS.2.6 FR1,,PRS.2.6 FR1,
PRS muting info,,"1, 2, 3, 4",‘10’,,‘01’,
Note 2,dBm/SCS,"1, 4",-98,,,
,,2,-98,,,
,,3,-95,,,
Note 2,dBm/15 kHz,"1, 4",-98,,,
,,2,,,,
,,3,,,,
PRS,dB,"1, 4",-Infinity,-2.41,-Infinity,-12.12
,,2,,,,
,,3,,,,
PRS,dB,"1, 4",-Infinity,-2,-Infinity,-10
,,2,,,,
,,3,,,,
PRP Note 3,dBm/SCS,"1, 4",-Infinity,-100,-Infinity,-108
,,2,-Infinity,-100,-Infinity,-108
,,3,-Infinity,-97,-Infinity,-105
SS-RSRP Note 3,dBm/SCS,"1, 2, 4",-88,-88,-Infinity,-Infinity
,,3,-85,-85,-Infinity,-Infinity
Io,dBm/48.6 MHz,"1, 4",-52.48,-60.51,-70.05,-60.51
,dBm/48.6 MHz,2,-52.48,-60.51,-70.05,-60.51
,dBm/98.28 MHz,3,-49.43,-57.46,-67.13,-57.46
Propagation Condition,,"1, 2, 3, 4",AWGN,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP/SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.,,,,,,
