Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,"1, 2, 3",TDDConf.3.1,,,TDDConf.3.1,,
PDSCH RMC configuration,,"1, 2, 3",SR.3.1 TDD,,,SR.3.1 TDD,,
RMSI CORESET parameters,,"1, 2, 3",CR.3.1 TDD,,,CR.3.1 TDD,,
RMSI CORESET RMC configuration,,"1, 2, 3",CCR.3.1 TDD,,,CCR.3.1 TDD,,
OCNG Pattern,,"1, 2, 3",OP.1,,,OP.1,,
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3",SSB,,,SSB,,
Qrxlevmin,dBm/SCS,1,-140,,,-140,,
,,2,-134,,,-134,,
,,3,-131,,,-131,,
Pcompensation,dB,"1, 2, 3",0,,,0,,
Qhysts,dB,"1, 2, 3",0,,,0,,
"Qoffsets, n",dB,"1, 2, 3",0,,,0,,
Cell_selection_and_re-selection_quality_measurement,,"1, 2, 3",SS-RSRP,,,SS-RSRP,,
AoA setup,,"1, 2, 3",Setup 1 defined in A.3.15.1,,,Setup 1 defined in A.3.15.1,,
Beam assumptionNote 4,,"1, 2, 3",Rough,,,Rough,,
,dB,1,10.5,10.5,8,-10.5,-infinity,8.5
,,2,,,,,,
,,3,,,,,,
Note2,dBm/SCS,1,-93,,,-93,,
,,2,-93,,,-93,,
,,3,-90,,,-90,,
Note2,dBm/15 kHz,"1, 2, 3",-102,,,-102,,
,,,,,,,,
,dB,"1, 2, 3",10.5,10.5,8,-10.5,-infinity,8.5
,,,,,,,,
SS-RSRP Note3,dBm/SCS,1,-83.5,-83.5,-85,-103.5,-infinity,-84.5
,,2,-83.5,-83.5,-85,-103.5,-infinity,-84.5
,,3,-80.5,-80.5,-82.5,-100.5,-infinity,-81.5
Io,dBm/95.04 MHz,1,-51.97,-51.97,-55.46,-63.64,-64.01,-55.46
,dBm/380.16 MHz,"2, 3",-51.99,-51.99,-55.48,-63.66,-64.03,-55.48
Tre-selection,s,"1, 2, 3",0,0,0,0,0,0
SnonintrasearchP,dB,"1, 2, 3",50,,,50,,
"Threshx, highP",dB,"1, 2, 3",48,,,48,,
"Threshserving, lowP",dB,"1, 2, 3",44,,,44,,
"Threshx, lowP",dB,"1, 2, 3",50,,,50,,
Propagation Condition,,"1, 2, 3",AWGN,,,AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,,
