Parameter,Unit,Test configuration,Cell 1,,Cell 2,,
,,,T1,T2,T1,,T2
TDD configuration,,"1, 2, 3",TDDConf.3.1,,TDDConf.3.1,,
PDSCH RMC,,1,SR.3.1 TDD,,SR.3.1 TDD,,
configuration,,2,SR.3.1 TDD,,SR.3.1 TDD,,
,,3,SR.3.1 TDD,,SR.3.1 TDD,,
RMSI CORESET,,1,CR.3.1 TDD,,CR.3.1 TDD,,
RMC configuration,,2,CR.3.1 TDD,,CR.3.1 TDD,,
,,3,CR.3.1 TDD,,CR.3.1 TDD,,
Dedicated CORESET,,1,CCR.3.1 TDD,,CCR.3.1 TDD,,
RMC configuration,,2,CCR.3.1 TDD,,CCR.3.1 TDD,,
,,3,CCR.3.1 TDD,,CCR.3.1 TDD,,
SSB configuration,,1,SSB.3 FR2,,SSB.7 FR2,,
,,2,SSB.13 FR2,,SSB.17 FR2,,
,,3,SSB.14 FR2,,SSB.18 FR2,,
OCNG Pattern,,"1, 2, 3",OP.4,,OP.4,,
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3",SSB,,SSB,,
Qrxlevmin,dBm/SCS,1,-140,,-140,,
,,2,-134,,-134,,
,,3,-131,,-131,,
Pcompensation,dB,"1, 2, 3",0,,0,,
Qhysts,dB,"1, 2, 3",0,,0,,
"Qoffsets, n",dB,"1, 2, 3",0,,0,,
Cell_selection_and_re-selection_quality_measurement,,"1, 2, 3",SS-RSRP,,SS-RSRP,,
AoA setup,,"1, 2, 3",Setup 1 defined in A.3.15.1,,Setup 1 defined in A.3.15.1,,
Beam assumptionNote 4,,"1, 2, 3",Rough,,Rough,,
,dB,"1, 2, 3",-3,1.5,1.5,-3,
,,,,,,,
Note2,dBm/SCS,1,-93,,,,
,,2,-93,,,,
,,3,-90,,,,
Note2,dBm/15 kHz,"1, 2, 3",-102,,,,
,,,,,,,
,dB,"1, 2, 3",-3,1.5,1.5,-3,
,,,,,,,
SS-RSRP Note3,dBm/SCS,1,-96,-91.5,-91.5,-96,
,,2,-96,-91.5,-91.5,-96,
,,3,-93,-88.5,-88.5,-93,
Io on SSB symbols of each cell,dBm/95.04 MHz,1,-62.25,-60.19,-60.19,-62.25,
,dBm/380.16 MHz,2,-62.25,-60.19,-60.19,-62.25,
,dBm/380.16 MHz,3,-62.27,-60.21,-60.21,-62.27,
Tre-selection,s,"1, 2, 3",0,0,0,0,
SSearchThresholdP,,"1, 2, 3",35,35,35,35,
SintrasearchP,dB,"1, 2, 3",50,,50,,
Propagation Condition,,"1, 2, 3",AWGN,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,
