ParameterNote 5,,Unit,T1,,,T2,,,T3,,
,,,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3,Cell 1,Cell 2,Cell 3
SSB ARFCN,"Config 1,2,3",,freq1,freq2,freq 3,freq1,freq2,freq 3,freq1,freq2,freq3
Duplex mode,"Config 1,2,3",,TDD,,,TDD,,,TDD,,
TDD configuration,"Config 1,2,3",,TDDConf.3.1,,,TDDConf.3.1,,,TDDConf.3.1,,
Downlink initial BWP Configuration,"Config 1,2,3",,DLBWP.0.1,,,DLBWP.0.1,,,DLBWP.0.1,,
Downlink dedicated BWP Configuration,"Config 1,2,3",,DLBWP.1.1,,,DLBWP.1.1,,,DLBWP.1.1,,
Uplink initial BWP configuration,"Config 1,2,3",,ULBWP.0.1,,,ULBWP.0.1,,,ULBWP.0.1,,
Uplink dedicated BWP configuration,"Config 1,2,3",,ULBWP.1.1,,,ULBWP.1.1,,,ULBWP.1.1,,
TRS configuration,"Config 1,2,3",,TRS.2.1 TDD,,,TRS.2.1 TDD,,,TRS.2.1 TDD,,
TCI state,"Config 1,2,3",,TCI.State.0,,,TCI.State.0,,,TCI.State.0,,
BWchannel,"Config 1,2,3",MHz,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
PDSCH Reference measurement channel,"Config 1,2,3",,SR.3.1 TDD,,-,SR.3.1 TDD,,-,SR.3.1 TDD,,
RMSI CORESET Parameters,"Config 1,2,3",,CR.3.1 TDD,,-,CR.3.1 TDD,,-,CR.3.1 TDD,,
Dedicated CORESET Parameters,"Config 1,2,3",,CCR.3.1 TDD,,-,CCR.3.1 TDD,,-,CCR.3.1 TDD,,
OCNG Patterns,"Config 1,2,3",,OP.1,,,,,,,,
SSB Configuration,"Config 1,2,3",,[SSB.xFR2-2],,,,,,,,
SMTC Configuration,"Config 1,2,3",,SMTC.1,,,,,,,,
PRACH configuration,"Config 1,2,3",,FR2-2 PRACH configuration 1,,,,,,,,
EPRE ratio of PSS to SSS,,dB,0,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,,,,,
Propagation conditions,,,AWGN,,,,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5: Void,,,,,,,,,,,
