Parameter,,Unit,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
Angle of arrival configuration,"Config 1, 2 ,3",,Setup 1 according to table A.3.15.1,,,Setup 1 according to table A.3.15.1,,
Assumption for UE beams Note 4,"Config 1, 2 ,3",,Rough,,,Rough,,
Note1,,dBm/15 kHzNote3,-104.7,,,-104.7,,
Note1,Config 1,dBm/SCS,-95.7,,,-95.7,,
,Config 2,,-95.7,,,-95.7,,
,Config 3,,-92.7,,,-92.7,,
,,dB,7,,,7,,
SSB_RPNote2,Config 1,dBm/SCS Note4,-88.7,,,-88.7,,
,Config 2,,-88.7,,,-88.7,,
,Config 3,,-85.7,,,-85.7,,
,,dB,7,,,7,,
IoNote2,Config 1,dBm/95.04 MHz Note3,-58.92,,,-58.92,,
,Config 2,dBm/380.16 MHz,-58.92,,,-58.92,,
,Config 3,dBm/380.16 MHz,-58.93,,,-58.93,,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:Information about types of UE beam is given in B.2.1.3 and does not limit UE implementation or test system implementation.",,,,,,,,
