Parameter,,Unit,Value,Comment
RF Channel Number,,,"1,2","Two NR radio channels (1,2) in FR2-2 are used for this test"
Active PCell,"Config 1, 2 ,3",,Cell 1,Primary cell on NR RF channel number 1.
Configured and activated SCell,"Config 1, 2 ,3",,Cell 2,Configured and activated SCell on NR RF channel number 2.
CP length,"Config 1, 2 ,3",,Normal,
DRX,"Config 1, 2 ,3",,OFF,Continuous monitoring of primary cell
SCell measurement cycle (measCycleSCell),"Config 1, 2 ,3",ms,160,
T1,"Config 1, 2 ,3",s,7,"During this time the measurement for Cell 2 is configured, and Cell 2 is detected."
T2,"Config 1, 2 ,3",s,Ndirect,During this time the UE shall configure and activate Cell 2 as SCell.
T3,"Config 1, 2 ,3",ms,100,During this time the UE shall report valid CQI for both PCell and SCell.
THARQ,"Config 1, 2 ,3",ms,k1NR slot length×,"k1 is a number of slots indicated by the PDSCH-to-HARQ_feedback timing indicator field in a corresponding DCI format or provided by dl-DataToUL-ACK if the PDSCH-to-HARQ feedback timing field is not present in the DCI format, the value is defined in  38.213 [3]"
k,"Config 1, 2 ,3",slot,,As specified in clause 4.3 of TS 38.213 [3]
