Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3, 4",Cell 1,
,Neighbour cells,,"1, 2, 3, 4",Cell 2,
Final condition,Active cell,,"1, 2, 3, 4",Cell 2,
RF Channel Number,,,"1, 2, 3, 4",1,
Time offset between cells,,,1,3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
,,,4,3 ms,Asynchronous cells
N310,,-,"1, 2, 3, 4",1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,"1, 2, 3, 4",1,Minimum consecutive in-sync indications from lower layers
T310,,ms,"1, 2, 3, 4",0,Radio link failure timer;
T311,,ms,"1, 2, 3, 4",3000,RRC re-establishment timer
Access Barring Information,,-,"1, 2, 3, 4",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.1 RedCap FR1,
,,,4,SSB.1 FR1,
SMTC configuration,,,1,SMTC.2,
,,,2,SMTC.1,
,,,3,SMTC.1,
,,,4,SMTC.2,
DRX cycle length,,s,"1, 2, 3, 4",OFF,
PRACH configuration,,,"1, 2, 3, 4",FR1 PRACH configuration 1,Table A.3.8.2.1-1
T1,,s,"1, 2, 3, 4",5,
T2,,ms,"1, 2, 3, 4",240,"Time for the UE to detect RLF(Summation of TEvaluate_out_SSB defined in clause 8.1B in TS 38.133, T310 and the period for UE turns off transmitter defined in clause 8.1B.5 in TS 38.133 )"
T3,,s,"1, 2, 3, 4",2,
