Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1,2,3",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1,"100: NPRB,c = 66",,"100: NPRB,c = 66",
,,2,"400: NPRB,c = 66",,"400: NPRB,c = 66",
,,3,"400: NPRB,c = 33",,"400: NPRB,c = 33",
DL CCA model,,"1,2,3",As specified in clause TBD,,As specified in clause TBD,
DL CCA probability,,"1,2,3",TBD,,TBD,
Data PRBs allocated,,1,66,,66,
,,2,66,,66,
,,3,33,,33,
Intial BWP configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1,2,3",DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,"1,2,3",ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,"1,2,3",SSB,,SSB,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
,,"2,3",SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
,,"2,3",CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
,,"2,3",CCR.3.7 TDD,,N/A,
TRS configuration,,"1,2,3",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI states,,"1,2,3",TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2,3",120,,120,
OCNG Patterns,,"1,2,3",OP.5,,N/A,
cellIndividualOffset,dB,"1,2,3",N/A,,16,
SSB,,1,SSB.1 FR2,,SSB.7 FR2,
,,2,SSB.9 FR2,,SSB.15 FR2,
,,3,SSB.10 FR2,,SSB.16 FR2,
Propagation Condition,,"1, 2,3",No external noise (Note 1),,No external noise (Note 1),
"NOTE 1:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [38].",,,,,,
