Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3, 4",Cell 1,The UE camps on Cell 1 in the initial phase
,Neighbour cells,,"1, 2, 3, 4",Cell 2,
T1 end condition,Active cell,,"1, 2, 3, 4",Cell 2,The UE reselects to Cell 2 during T1 period
,Neighbour cells,,"1, 2, 3, 4",Cell 1,
Final condition,Active cell,,"1, 2, 3, 4",Cell 1,The UE reselects to Cell 1 during T2 period
,Neighbour cells,,"1, 2, 3, 4",Cell 2,
RF Channel Number,,,"1, 2, 3, 4",1,
Time offset between cells,,,"1, 4",3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,"1, 4",SSB.1 FR1,
,,,2,SSB.1 FR1,
,,,3,SSB.1 RedCap FR1,
SMTC configuration,,,"1, 4",SMTC.2,Configured in SIB2 of Cell 1
,,,,SMTC.6,Configured in SIB2 of Cell 2
,,,2,SMTC.1,
,,,3,SMTC.1,
DRX cycle length,,s,"1, 2, 3, 4",0.64,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2, 3, 4",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3, 4",Not configured,
T1,,s,"1, 2, 3, 4",[25],T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3, 4",[25],T2 needs to be defined so that cell re-selection reaction time is taken into account.
