Parameter,,Unit,Cell 1,Cell 2,Cell 3
NR RF Channel Number,,,1,1,1
Positiong frequency layer,,,1,1,1
Correlation Matrix and Antenna Configuration,,,1x2 Low,1x2 Low,1x2 Low
PDSCH RMC configuration,"Config 1, 4",,SR.1.1 FDD,N/A,N/A
,Config 2,,SR.1.1 TDD,,
,Config 3,,SR.2.1 TDD,,
RMSI CORESET RMC configuration,"Config 1, 4",,CR.1.1 FDD,N/A,N/A
,Config 2,,CR.1.1 TDD,,
,Config 3,,CR.2.1 TDD,,
Dedicated CORESET RMC configuration,"Config 1, 4",,CCR.1.1 FDD,N/A,N/A
,Config 2,,CCR.1.1 TDD,,
,Config 3,,CCR.2.1 TDD,,
OCNG Patterns,"Config 1,2,3,4",,OP.1,OP.1,OP.1
RMSI CORESET RMC configuration,"Config 1, 4",,CR.1.1 FDD,N/A,N/A
,Config 2,,CR.1.1 TDD,,
,Config 3,,CR.2.1 TDD,,
Initial BWP configuration,"Config 1,2,3,4",,DLBWP.0.1 ULBWP.0.1,N/A,N/A
Active DL BWP configuration,"Config 1,2,3,4",,DLBWP.1.3 RedCap,N/A,N/A
Active UL BWP configuration,"Config 1,2,3,4",,ULBWP.1.3 RedCap,N/A,N/A
Note 3,"Config 1, 4",dBm/SCS,-98,,
,Config 2,dBm/SCS,-98,,
,Config 3,dBm/SCS,-95,,
PRS,,dB,-Infinity,-Infinity,-Infinity
SSB,,dB,10,-Infinity,-Infinity
Io Note 4,"Config 1, 4",dBm/48.6MHz,-52.48,-52.48,-52.48
,Config 2,dBm/48.6MHz,-52.48,-52.48,-52.48
,Config 3,dBm/98.28MHz,-49.43,-49.43,-49.43
SSB RP Note4,"Config 1, 4",dBm/SCS,-88,-Infinity,-Infinity
,Config 2,dBm/SCS,-88,-Infinity,-Infinity
,Config 3,dBm/SCS,-85,-Infinity,-Infinity
Propagation Condition,,,AWGN,,
NOTE 1: OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the slots with transmitted PRS. NOTE 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 3: Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 4: SSB RP and Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.,,,,,
