Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 4",N/A,,N/A,
,,2,TDDConf.1.1,,TDDConf.1.1,
,,3,TDDConf.2.1,,TDDConf.2.1,
PDSCH RMC configuration,,"1, 4",SR.1.1 FDD,,SR.1.1 FDDSR.1.1 TDDSR.2.1 TDD,
,,2,SR.1.1 TDD,,,
,,3,SR.2.1 TDD,,,
RMSI CORESET RMC configuration,,"1, 4",CR.1.1 FDD,,CR.1.1 FDD,
,,2,CR.1.1 TDD,,CR.1.1 TDD,
,,3,CR.2.1 TDD,,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,"1, 4",CCR.1.1 FDD,,CCR.1.1 FDD,
,,2,CCR.1.1 TDD,,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,,CCR.2.1 TDD,
OCNG Pattern,,"1, 2, 3, 4",OP.1,,OP.1,
Initial DL BWP configuration,,"1, 2, 3, 4",DLBWP.0.1,,DLBWP.0.1,
Initial UL BWP configuration,,"1, 2, 3, 4",ULBWP.0.1,,ULBWP.0.1,
RLM-RS,,"1, 2, 3, 4",SSB,,SSB,
Qrxlevmin,dBm/SCS,"1, 2, 4",-140,,-140,
,,3,-137,,-137,
Pcompensation,dB,"1, 2, 3, 4",0,,0,
Qhysts,dB,"1, 2, 3, 4",0,,0,
"Qoffsets, n",dB,"1, 2, 3, 4",0,,0,
SSearchDeltaP-Stationary,dB,"1, 2, 3, 4",3,,3,
TSearchDeltaP-Stationary,s,"1, 2, 3, 4",5,,5,
Cell_selection_and_re-selection_quality_measurement,,"1, 2, 3, 4",SS-RSRP,,SS-RSRP,
,dB,"1, 2, 3, 4",-3.11,2.79,2.79,-3.11
Note2,dBm/SCS,"1, 4",-98,,,
,,2,-98,,,
,,3,-95,,,
Note2,dBm/15 kHz,"1, 2, 3, 4",-98,,,
,dB,"1, 2, 3, 4",13,16,16,13
SS-RSRP Note3,dBm/SCS,"1, 4",-85,-82,-82,-85
,,2,-85,-82,-82,-85
,,3,-82,-79,-79,-82
Io,dBm/9.36 MHz,"1, 4",-52.21,-52.21,specified in Cell 1 columns-,
,dBm/9.36 MHz,2,-52.21,-52.21,,
,dBm/18.36 MHz,3,-49.28,-49.28,,
Tre-selection,s,"1, 2, 3, 4",0,0,0,0
SintrasearchP,dB,"1, 2, 3, 4",60,,60,
Propagation Condition,,"1, 2, 3, 4",AWGN,,,
Antenna Configuration,,,1x2,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,
