Parameter,Unit,Test configuration,Value,Comment
Active cell,,"1, 2, 3, 4",Cell 1,
Neighbour cell,,"1, 2, 3, 4",Cell 2,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4",1: Cell 1 and Cell 2,
CD-SSB configuration,,"1,2,4",SSB.1 FR1,
,,3,SSB.1 RedCap FR1,
NCD-SSB configuration,,"1, 4",SSB.6 RedCap FR1 (Note 1),
,,2,SSB.6 RedCap FR1 (Note 1),
,,3,SSB.7 RedCap FR1 (Note 1),
SMTC configuration for NCD-SSB,,"1, 4",SMTC.4 RedCap,
,,2,SMTC.2 RedCap,
,,3,SMTC.2 RedCap,
A3-Offset,dB,"1, 2, 3, 4",-4.5,
CP length,,"1, 2, 3, 4",Normal,
Hysteresis,dB,"1, 2, 3, 4",0,
Time To Trigger,s,"1, 2, 3, 4",0,
Filter coefficient,,"1, 2, 3, 4",0,L3 filtering is not used
DRX,,"1, 2, 3, 4",,OFF
Time offset between serving and neighbour cells,,"1, 4",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,2,3 s,Synchronous cells
,,3,3 s,Synchronous cells
T1,s,"1, 2, 3, 4",5,
T2,s,"1, 2, 3, 4",5,
NOTE 1: NCD-SSB is configured within dedicated RedCap DL BWP.,,,,
