"a1, a2, a3,a4",Slot configuration period of pattern1 (msec)P,Slot configuration period of pattern2 (msec)P2,Granularity  in slots with different SCSw,,,
,,,15kHz,30 kHz,60 kHz,120 kHz
"0, 0, 0, 0",0.5,0.5,1,,,
"0, 0, 0, 1",0.625,0.625,,,,
"0, 0, 1, 0",1,1,,,,
"0, 0, 1, 1",0.5,2,,,,
"0, 1, 0, 0",1.25,1.25,,,,
"0, 1, 0, 1",2,0.5,,,,
"0, 1, 1, 0",1,3,1,,,2
"0, 1, 1, 1",2,2,,,,
"1, 0, 0, 0",3,1,,,,
"1, 0, 0, 1",1,4,,,,
"1, 0, 1, 0",2,3,,,,
"1, 0, 1, 1",2.5,2.5,,,,
"1, 1, 0, 0",3,2,,,,
"1, 1, 0, 1",4,1,,,,
"1, 1, 1, 0",5,5,1,,2,4
"1, 1, 1, 1",10,10,1,2,4,8
