"or  or  or  or  or  or  or  or  or  or Ioffset,0HARQ-ACKIoffset,1HARQ-ACKIoffset,2HARQ-ACKIoffsetCG-UCIIoffsetUTO-UCIIoffset,0HARQ-ACK,0Ioffset,1HARQ-ACK,0Ioffset,2HARQ-ACK,0Ioffset,0HARQ-ACK,1Ioffset,1HARQ-ACK,1Ioffset,2HARQ-ACK,1","or  or  or  or βoffsetHARQ-ACKβoffsetCG-UCIβoffsetUTO-UCIβoffsetHARQ-ACK,0βoffsetHARQ-ACK,1"
0,1.000
1,2.000
2,2.500
3,3.125
4,4.000
5,5.000
6,6.250
7,8.000
8,10.000
9,12.625
10,15.875
11,20.000
12,31.000
13,50.000
14,80.000
15,126.000
16,0.6
17,0.4
18,0.2
19,0.1
20,0.05
21,Reserved
22,Reserved
23,Reserved
24,Reserved
25,Reserved
26,Reserved
27,Reserved
28,Reserved
29,Reserved
30,Reserved
31,Reserved
