PUSCH configuration period  (msec)Tcg,Association period (number of PUSCH configuration periods)
5,"{1, 2, 4, 8,16, 32, 64, 128}"
8,"{1, 2, 4, 5, 8, 10, 16, 20, 40, 80}"
10,"{1, 2, 4, 8,16, 32, 64}"
16,"{1, 2, 4, 5, 8,10,20,40}"
20,"{1, 2, 4, 8,16, 32}"
32,"{1, 2, 4, 5, 10, 20}"
40,"{1, 2, 4, 8, 16}"
64,"{1, 2, 5, 10}"
80,"{1, 2, 4, 8}"
128,"{1, 5}"
160,"{1, 2, 4}"
320,"{1, 2}"
640,{1}
1280,{1}
2560,{1}
5120,{1}
10240,{1}
61440,{1}
122880,{1}
307200,{1}
604160,{1}
1208320,{1}
1802240,{1}
3604480,{1}
