Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
2017-04,RAN1#89,R1-1707925,,,,Draft skeleton,0.0.0
2017-07,AH_NR2,R1-1712015,,,,Inclusion of agreements until RAN1-adhoc#2,0.0.1
2017-08,RAN1#90,R1-1714553,,,,Inclusion of agreements on CA and first revisions,0.0.2
2017-08,RAN1#90,R1-1714565,,,,Second revisions,0.0.3
2017-08,RAN1#90,R1-1714658,,,,Endorsed by RAN1#90,0.1.0
2017-08,RAN1#90,R1-1715323,,,,Inclusion of agreements from RAN1#90,0.1.1
2017-08,RAN1#90,R1-1715330,,,,Updated editor's version,0.1.2
2017-09,RAN#77,RP-171995,,,,For information to plenary,1.0.0
2017-09,RAN1#90bis,R1-1716929,,,,Inclusion of agreements until RAN1-adhoc#3,1.0.1
2017-10,RAN1#90bis,R1-1719107,,,,Endorsed by RAN1#90bis,1.1.0
2017-11,RAN1#90bis,R1-1719226,,,,Inclusion of agreements from RAN1#90bis,1.1.1
2017-11,RAN1#90bis,R1-1719243,,,,Updated editor's version,1.1.2
2017-11,RAN1#90bis,R1-1721050,,,,Endorsed by RAN1#90bis,1.2.0
2017-12,RAN1#91,R1-1721343,,,,Inclusion of agreements from RAN1#91,1.3.0
2017-12,RAN#78,RP-172703,,,,Endorsed version for approval by plenary,2.0.0
2017-12,RAN#78,,,,,Approved by plenary – Rel-15 spec under change control,15.0.0
2018-03,RAN#79,RP-180200,0001,-,F,CR capturing the NR ad-hoc 1801 and RAN1#92 meeting agreements,15.1.0
2018-06,RAN#80,RP-181172,0002,1,F,CR to TS 38.213 capturing the RAN1#92bis and RAN1#93 meeting agreements and aligning higher layer parameters with TS 38.331,15.2.0
2018-09,RAN#81,RP-181789,0005,-,F,CR to 38.213 capturing the RAN1#94 meeting agreements,15.3.0
2018-09,RAN#81,RP-182071,0006,-,C,Support maximum 8 SS/PBCH blocks for unpaired spectrum beyond 2.4GHz,15.3.0
2018-12,RAN#82,RP-182523,0007,2,F,Combined CR of all essential corrections to 38.213 from RAN1#94bis and RAN1#95.,15.4.0
2019-03,RAN#83,RP-190449,0009,-,F,Correction on search space sharing,15.5.0
2019-03,RAN#83,RP-190449,0010,-,F,CR on timing adjustment indicator,15.5.0
2019-03,RAN#83,RP-190449,0011,-,F,CR on SSB-RO association,15.5.0
2019-03,RAN#83,RP-190449,0012,-,F,Removal of CSI request in RAR grant,15.5.0
2019-03,RAN#83,RP-190449,0014,-,F,Correction to dynamic HARQ codebook in NR,15.5.0
2019-03,RAN#83,RP-190449,0015,1,F,Corrections to TS 38.213,15.5.0
2019-03,RAN#83,RP-190449,0016,-,F,CR on simultaneous active BWP switching across carriers,15.5.0
2019-03,RAN#83,RP-190449,0017,-,F,CR on using CORESET#0 in dedicated DL BWP,15.5.0
2019-03,RAN#83,RP-190449,0018,-,F,PDCCH monitoring for overlapped CORESETs,15.5.0
2019-03,RAN#83,RP-190449,0019,-,F,Correction to last PUCCH resource set configuration,15.5.0
2019-03,RAN#83,RP-190449,0020,-,F,Correction on physical downlink control channel,15.5.0
2019-03,RAN#83,RP-190449,0021,-,F,Correction to align RAN1 and RAN4 specifications for EN-DC power control,15.5.0
2019-03,RAN#83,RP-190449,0022,-,F,(Late Drop) CR on PRACH Power Ramping Counter Suspension,15.5.0
2019-03,RAN#83,RP-190449,0023,-,F,QCL properties of Msg4 in CONNECTED Mode,15.5.0
2019-03,RAN#83,RP-190449,0024,-,F,CR on latency after gNB response for recovery,15.5.0
2019-03,RAN#83,RP-190449,0025,-,F,Clarifying DL reception and  UL transmission related restrictions,15.5.0
2019-03,RAN#83,RP-190449,0026,-,F,CR on QCL assumption for receiving PDCCH for RAR,15.5.0
2019-03,RAN#83,RP-190449,0027,-,F,CR on identifying transmission occasion after resetting a PC closed loop,15.5.0
2019-03,RAN#83,RP-190449,0028,-,F,CR on overlapping of CSI and PUSCH with slot aggregation,15.5.0
2019-03,RAN#83,RP-190449,0029,-,F,Correction on PHR timing for configured grant,15.5.0
2019-03,RAN#83,RP-190449,0030,-,F,CR on QCL assumption for a CORESET other than 0,15.5.0
2019-03,RAN#83,RP-190449,0031,-,F,Correction on DCI format 2_3 for SUL cell in TS 38.213,15.5.0
2019-03,RAN#83,RP-190449,0032,-,F,Correction to support FR1 extension to 7.125 GHz,15.5.0
2019-03,RAN#83,RP-190449,0033,-,F,CR on UE procedure for reporting multiple UCI types,15.5.0
2019-03,RAN#83,RP-190449,0034,-,F,Correction to transmission timing adjustments in TS 38.213,15.5.0
2019-06,RAN#84,RP-191283,0035,-,F,CR on missing case for DCI format 1_1 with CS-RNTI,15.6.0
2019-06,RAN#84,RP-191283,0036,1,F,CR on the determination of the minimum number of PRBs for PUCCH transmission,15.6.0
2019-06,RAN#84,RP-191283,0037,-,F,CR on PHR determination and transmission,15.6.0
2019-06,RAN#84,RP-191283,0038,4,F,Corrections to 38.213 including alignment of terminology across specifications,15.6.0
2019-06,RAN#84,RP-191283,0039,1,F,Correction on PUSCH power scaling,15.6.0
2019-06,RAN#84,RP-191283,0040,-,F,Correction on PDCCH monitoring,15.6.0
2019-06,RAN#84,RP-191283,0041,-,F,Correction on CRC assumption for multi-CSI resource selection and CSI report(s) selection,15.6.0
2019-06,RAN#84,RP-191283,0042,-,F,Clarification of reference to PDSCH processing capability 1 in TS 38.213,15.6.0
2019-06,RAN#84,RP-191283,0043,-,F,Correction on the timeline condition of multiplexing two HARQ-ACK information in one slot,15.6.0
2019-06,RAN#84,RP-191283,0044,-,F,CR on Type-1 HARQ-ACK codebook determination,15.6.0
2019-06,RAN#84,RP-191283,0045,-,F,Correction on PHR in EN-DC,15.6.0
2019-06,RAN#84,RP-191283,0046,-,F,CR to 38.213 on deactivation timing for ScellDeactivationTimer,15.6.0
2019-06,RAN#84,RP-191283,0047,-,F,CR on single transmission timing for synchronous intra-band EN-DC,15.6.0
