SlotFormat,Symbol number in a slot,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13
56,U,U,U,U,U,U,U,U,U,U,U,U,U,F
57,U,U,U,U,U,U,U,U,U,U,U,U,F,F
58,U,U,U,U,U,U,U,U,U,U,U,F,F,F
59,U,U,U,U,U,U,U,U,U,U,F,F,F,F
60,U,U,U,U,U,U,U,U,U,F,F,F,F,F
61,U,U,U,U,U,U,U,U,F,F,F,F,F,F
62,U,U,U,U,U,U,U,F,F,F,F,F,F,F
63,U,U,U,U,U,U,F,F,F,F,F,F,F,F
64,U,U,U,U,U,F,F,F,F,F,F,F,F,F
65,U,U,U,U,F,F,F,F,F,F,F,F,F,F
66,U,U,U,F,F,F,F,F,F,F,F,F,F,F
67,U,U,F,F,F,F,F,F,F,F,F,F,F,F
68,U,F,F,F,F,F,F,F,F,F,F,F,F,F
69,U,F,F,F,F,F,F,F,F,F,F,F,F,D
70,U,U,F,F,F,F,F,F,F,F,F,F,F,D
71,U,U,U,F,F,F,F,F,F,F,F,F,F,D
72,U,F,F,F,F,F,F,F,F,F,F,F,D,D
73,U,U,F,F,F,F,F,F,F,F,F,F,D,D
74,U,U,U,F,F,F,F,F,F,F,F,F,D,D
75,U,F,F,F,F,F,F,F,F,F,F,D,D,D
76,U,U,F,F,F,F,F,F,F,F,F,D,D,D
77,U,U,U,F,F,F,F,F,F,F,F,D,D,D
78,U,U,U,U,U,U,U,U,U,U,U,U,F,D
79,U,U,U,U,U,U,U,U,U,U,U,F,F,D
80,U,U,U,U,U,U,U,U,U,U,F,F,F,D
81,U,U,U,U,U,U,U,U,U,U,U,F,D,D
82,U,U,U,U,U,U,U,U,U,U,F,F,D,D
83,U,U,U,U,U,U,U,U,U,F,F,F,D,D
84,U,F,D,D,D,D,D,D,D,D,D,D,D,D
85,U,U,F,D,D,D,D,D,D,D,D,D,D,D
86,U,U,U,F,D,D,D,D,D,D,D,D,D,D
87,U,F,F,D,D,D,D,D,D,D,D,D,D,D
88,U,U,F,F,D,D,D,D,D,D,D,D,D,D
89,U,U,U,F,F,D,D,D,D,D,D,D,D,D
90,U,F,F,F,D,D,D,D,D,D,D,D,D,D
91,U,U,F,F,F,D,D,D,D,D,D,D,D,D
92,U,U,U,F,F,F,D,D,D,D,D,D,D,D
93,U,U,U,U,U,U,U,U,U,F,F,F,F,D
94,U,U,U,U,U,U,F,F,F,F,F,F,D,D
95,U,U,U,U,U,U,F,F,D,D,D,D,D,D
96,U,U,U,U,U,U,U,D,D,D,D,D,D,D
