Format,Symbol number in a slot,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1,U,U,U,U,U,U,U,U,U,U,U,U,U,U
2,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3,D,D,D,D,D,D,D,D,D,D,D,D,D,F
4,D,D,D,D,D,D,D,D,D,D,D,D,F,F
5,D,D,D,D,D,D,D,D,D,D,D,F,F,F
6,D,D,D,D,D,D,D,D,D,D,F,F,F,F
7,D,D,D,D,D,D,D,D,D,F,F,F,F,F
8,F,F,F,F,F,F,F,F,F,F,F,F,F,U
9,F,F,F,F,F,F,F,F,F,F,F,F,U,U
10,F,U,U,U,U,U,U,U,U,U,U,U,U,U
11,F,F,U,U,U,U,U,U,U,U,U,U,U,U
12,F,F,F,U,U,U,U,U,U,U,U,U,U,U
13,F,F,F,F,U,U,U,U,U,U,U,U,U,U
14,F,F,F,F,F,U,U,U,U,U,U,U,U,U
15,F,F,F,F,F,F,U,U,U,U,U,U,U,U
16,D,F,F,F,F,F,F,F,F,F,F,F,F,F
17,D,D,F,F,F,F,F,F,F,F,F,F,F,F
18,D,D,D,F,F,F,F,F,F,F,F,F,F,F
19,D,F,F,F,F,F,F,F,F,F,F,F,F,U
20,D,D,F,F,F,F,F,F,F,F,F,F,F,U
21,D,D,D,F,F,F,F,F,F,F,F,F,F,U
22,D,F,F,F,F,F,F,F,F,F,F,F,U,U
23,D,D,F,F,F,F,F,F,F,F,F,F,U,U
24,D,D,D,F,F,F,F,F,F,F,F,F,U,U
25,D,F,F,F,F,F,F,F,F,F,F,U,U,U
26,D,D,F,F,F,F,F,F,F,F,F,U,U,U
27,D,D,D,F,F,F,F,F,F,F,F,U,U,U
28,D,D,D,D,D,D,D,D,D,D,D,D,F,U
29,D,D,D,D,D,D,D,D,D,D,D,F,F,U
30,D,D,D,D,D,D,D,D,D,D,F,F,F,U
31,D,D,D,D,D,D,D,D,D,D,D,F,U,U
32,D,D,D,D,D,D,D,D,D,D,F,F,U,U
33,D,D,D,D,D,D,D,D,D,F,F,F,U,U
34,D,F,U,U,U,U,U,U,U,U,U,U,U,U
35,D,D,F,U,U,U,U,U,U,U,U,U,U,U
36,D,D,D,F,U,U,U,U,U,U,U,U,U,U
37,D,F,F,U,U,U,U,U,U,U,U,U,U,U
38,D,D,F,F,U,U,U,U,U,U,U,U,U,U
39,D,D,D,F,F,U,U,U,U,U,U,U,U,U
40,D,F,F,F,U,U,U,U,U,U,U,U,U,U
41,D,D,F,F,F,U,U,U,U,U,U,U,U,U
42,D,D,D,F,F,F,U,U,U,U,U,U,U,U
43,D,D,D,D,D,D,D,D,D,F,F,F,F,U
44,D,D,D,D,D,D,F,F,F,F,F,F,U,U
45,D,D,D,D,D,D,F,F,U,U,U,U,U,U
46,D,D,D,D,D,F,U,D,D,D,D,D,F,U
47,D,D,F,U,U,U,U,D,D,F,U,U,U,U
48,D,F,U,U,U,U,U,D,F,U,U,U,U,U
49,D,D,D,D,F,F,U,D,D,D,D,F,F,U
50,D,D,F,F,U,U,U,D,D,F,F,U,U,U
51,D,F,F,U,U,U,U,D,F,F,U,U,U,U
52,D,F,F,F,F,F,U,D,F,F,F,F,F,U
53,D,D,F,F,F,F,U,D,D,F,F,F,F,U
54,F,F,F,F,F,F,F,D,D,D,D,D,D,D
55,D,D,F,F,F,U,U,U,D,D,D,D,D,D
56 – 254,Reserved,,,,,,,,,,,,,
255,"UE determines the slot format for the slot based on tdd-UL-DL-ConfigurationCommon, or tdd-UL-DL-ConfigurationDedicated and, if any, on detected DCI formats",,,,,,,,,,,,,
