PUCCH resource indicator,,,PUCCH resource,
1 bit,2 bits,3 bits,,
'0','00','000',1st PUCCH resource provided by pucch-ResourceId obtained from the 1st value of resourceList,
'1','01','001',2nd PUCCH resource provided by pucch-ResourceId obtained from the 2nd value of resourceList,
,'10','010',3rd PUCCH resource provided by pucch-ResourceId obtained from the 3rd value of resourceList,
,'11','011',4th PUCCH resource provided by pucch-ResourceId obtained from the 4th value of resourceList,
,,'100',5th PUCCH resource provided by pucch-ResourceId obtained from the 5th value of resourceList,
,,'101',6th PUCCH resource provided by pucch-ResourceId obtained from the 6th value of resourceList,
,,'110',7th PUCCH resource provided by pucch-ResourceId obtained from the 7th value of resourceList,
,,'111',8th PUCCH resource provided by pucch-ResourceId obtained from the 8th value of resourceList,
