,,Number of EPDCCH candidates  for Case 1,,,,,Number of EPDCCH candidates  for Case 2,,,,
,,L=2,L=4,L=8,L=16,L=32,L=1,L=2,L=4,L=8,L=16
2,2,"4,4","2,2","1,1","0,0","0,0","4,4","2,2","1,1","0,0","0,0"
4,4,"4,2","4,3","0,2","0,1","0,0","4,2","4,3","0,2","0,1","0,0"
8,8,"4,1","4,2","0,2","0,2","0,1","4,1","4,2","0,2","0,2","0,1"
2,4,"4,3","2,4","0,2","0,1","0,0","4,3","2,4","0,2","0,1","0,0"
2,8,"4,1","2,2","0,4","0,2","0,1","4,1","2,2","0,4","0,2","0,1"
4,2,"5,2","4,2","1,1","1,0","0,0","5,2","4,2","1,1","1,0","0,0"
4,8,"4,1","4,2","0,2","0,2","0,1","4,1","4,2","0,2","0,2","0,1"
8,2,"5,1","4,2","2,1","1,0","0,0","5,1","4,2","2,1","1,0","0,0"
8,4,"6,1","4,2","0,2","0,1","0,0","6,1","4,2","0,2","0,1","0,0"
"NOTE:One localized EPDCCH-PRB-set and one distributed EPDCCH-PRB-set, - Case1, Case 2;  is the identity of the localized EPDCCH-PRB-set,  is the identity of the distributed EPDCCH-PRB-set",,,,,,,,,,,
