,DCI Format 0A,DCI Format 4A
PUSCH trigger A,Set to '0',N/A
Timing offset,Set to '0000',Set to '0000'
HARQ process number,Set to '0000',Set to '0000'
New data indicator,Set to '0',Set to '0' for both CWs
Redundancy version,Set to '00',Set to '00'
TPC for scheduled PUSCH,Set to '00',Set to '00'
CSI request,All bits set to '0',All bits set to '0'
SRS request,Set to '0',Set to '00'
PUSCH starting position,Set to '00',Set to '00'
PUSCH ending position,Set to '0',Set to '0'
Channel Access type,Set to '0',Set to '0'
Channel Access Priority Class,Set to '00',Set to '00'
