,DCI format 0,DCI format 1A,DCI format 7-0A/7-0B,DCI format 7-1A/1B/1C/1D/1E/1F/1G
TPC command for scheduled PUSCH,set to '00',N/A,set to '00',N/A
Cyclic shift DM RS,set to '000' if present,N/A,set to '0',N/A
Modulation and coding scheme and redundancy version,set to '11111',N/A,N/A,N/A
Resource block assignment and hopping resource allocation,Set to all '1's,N/A,N/A,N/A
HARQ process number,N/A,FDD: set to '000' TDD: set to '0000',set to '0000',set to '0000'
Modulation and coding scheme,N/A,"set to '11111' for 5-bit MCS field, otherwise set to '111111'",set to '11111',set to '11111'
Redundancy version,N/A,set to '00',set to '00',set to '00'
Resource block assignment,N/A,Set to all '1's,set to all '1's,set to all '1's
TPC command for slot/subslot-PUCCH,N/A,N/A,N/A,set to '00'
Cyclic Shift Field mapping table for DMRS,-,N/A,set to '0',N/A
