,,Number of EPDCCH candidates  for Case 3,,,,
,,L=1,L=2,L=4,L=8,L=16
2,2,"4,1","4,2","2,2","0,1","0,0"
4,4,"4,1","4,1","2,2","0,1","0,1"
8,8,"4,1","4,1","2,2","0,1","0,1"
2,4,"4,1","4,1","2,2","0,1","0,1"
2,8,"4,1","4,1","2,2","0,1","0,1"
4,2,"4,1","4,1","2,2","1,1","0,0"
4,8,"4,1","4,1","2,2","0,1","0,1"
8,2,"4,1","4,1","4,1","0,1","0,0"
8,4,"4,1","4,1","2,2","0,1","0,1"
"NOTE:One localized EPDCCH-PRB-set and one distributed EPDCCH-PRB-set - Case 3); is the identity of the localized EPDCCH-PRB-set,  is the identity of the distributed EPDCCH-PRB-set)",,,,,,
