Parameter,Unit,Test configuration,Cell 2,,
,,,T1,T2,T3
TDD configuration,,"1, 4",N/A,,
,,"2, 5",TDDConf.1.1,,
,,"3, 6",TDDConf.2.1,,
PDSCH Reference measurement channel,,"1, 4",SR.1.1 FDD,,
,,"2, 5",SR.1.1 TDD,,
,,"3, 6",SR.2.1 TDD,,
RMSI CORESET Reference Channel,,"1, 4",CR.1.1 FDD,,
,,"2, 5",CR.1.1 TDD,,
,,"3, 6",CR.2.1 TDD,,
RMC CORESET Reference Channel,,"1, 4",CCR.1.1 FDD,,
,,"2, 5",CCR.1.1 TDD,,
,,"3, 6",CCR.2.1 TDD,,
OCNG Patterns,,"1, 2, 3, 4, 5, 6",OP.1,,
SMTC configuration,,"1, 2, 3, 4, 5, 6",SMTC.1,,
SSB configuration,,"1, 4",SSB.1 FR1,,
,,"2, 5",SSB.1 FR1,,
,,"3, 6",SSB.2 FR1,,
Initial DL BWP configuration,,"1, 2, 3, 4, 5, 6",DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3, 4, 5, 6",ULBWP.0.1,,
RLM-RS,,"1, 2, 3, 4, 5, 6",SSB,,
Qrxlevmin,dBm/SCS,"1, 2, 4, 5",-140,,
,,"3, 6",-137,,
Pcompensation,dB,"1, 2, 3, 4, 5, 6",0,,
Qhysts,dB,"1, 2, 3, 4, 5, 6",0,,
"Qoffsets, n",dB,"1, 2, 3, 4, 5, 6",0,,
Cell_selection_and_reselection_quality_measurement,,"1, 2, 3, 4, 5, 6",SS-RSRP,,
,dB,"1, 4",-4,-infinity,12
,,"2, 5",,,
,,"3, 6",,,
Note2,dBm/SCS,"1, 4",-98,,
,,"2, 5",-98,,
,,"3, 6",-95,,
Note2,dBm/15 kHz,"1, 4",-98,,
,,"2, 5",,,
,,"3, 6",,,
,dB,"1, 4",-4,-infinity,12
,,"2, 5",,,
,,"3, 6",,,
SS-RSRP Note3,dBm/SCS,"1, 4",-102,-infinity,-86
,,"2, 5",-102,-infinity,-86
,,"3, 6",-99,-infinity,-83
Io,dBm/9.36 MHz,"1, 4",-68.60,-70.05,-57.78
,dBm/9.36 MHz,"2, 5",-68.60,-70.05,-57.78
,dBm/38.16 MHz,"3, 6",-62.50,-63.95,-51.69
Treselection,s,"1, 2, 3, 4, 5, 6",0,0,0
SnonintrasearchP,dB,"1, 2, 3, 4, 5, 6",50,,
"Threshx, highP",dB,"1, 2, 3, 4, 5, 6",48,,
"Threshserving, lowP",dB,"1, 2, 3, 4, 5, 6",44,,
"Threshx, lowP",dB,"1, 2, 3, 4, 5, 6",50,,
Propagation Condition,,"1, 2, 3, 4, 5, 6",AWGN,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,
