Parameter,Unit,Test 1,Test 2,Test 3
,,Cell 2,Cell 2,Cell 2
Angle of arrival configuration,,Setup 1 according to A.3.15.1,Setup 1 according to A.3.15.1,Setup 1 according to A.3.15.1
Assumption for UE beamsNote 10,,Rough,Rough,Rough
Note1,dBm/15kHzNote4,-104.7,-104.7,(Table B.2.3-2 Rx Beam Peak -5 dB)(Note 7)
Note1,dBm/SCSNote4,-95.7,-95.7,(Table B.2.3-2 Rx Beam Peak +4 dB)(Note 7)
,dB,-0.5,11,-1.0
SSB_RPNote2,dBm/SCS Note4,-96. 2,-84.7,(Table B.2.3-2 Rx Beam Peak +3 dB)(Note 8)
SS-SINRNote2,dB,-0.5,11,-1.0
Note2,dB,-0.5,11,-1.0
IoNote2,dBm/95.04 MHz Note4,-63.95,-55.38,(Table B.2.3-2 Rx Beam Peak +35.54 dB)(Note 9)
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SSB_RP, SS-SINR, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 5:VoidNOTE 6:VoidNOTE 7:Noc for SCS 15kHz is applied at -10log10(8)+4 dB above the minimum level specified in table B.2.3-2 for beam peak. Noc for SCS 120kHz is applied at 4 dB above the minimum level specified in table B.2.3-2 for beam peak.NOTE 8:SSB_RP is applied at 3 dB above the minimum level specified in table B.2.3-2 for beam peak.NOTE 9:Io is applied at level 10log10(792)+6.54 dB above the minimum level specified in table B.2.3-2 for beam peak.Note 10:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.",,,,
