Parameter,Unit,Test configuration,Value,Comment
E-UTRA RF Channel Number,,"1, 2, 3, 4, 5, 6",1,One E-UTRA carrier frequency is used.
NR RF Channel Number,,"1, 2, 3, 4, 5, 6",1,One FR1 NR carrier frequency is used.
Active cell,,"1, 2, 3, 4, 5, 6",E-UTRA cell 1 (PCell),E-UTRA cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,"1, 2, 3, 4, 5, 6",NR cell 2,NR cell 2 is on NR RF channel number 1.
Gap Pattern Id,,"1, 2, 3, 4, 5, 6",0,As specified in clause Table 8.1.2.1-1 of TS 36.133 [15].
Measurement gap offset,,"1, 2, 3, 4, 5, 6",39,As specified in TS 36.331 [16].
b2-Threshold1,dBm,"1, 2, 3, 4, 5, 6",Note 1,E-UTRA RSRP threshold for E-UTRA RSRP measurement on cell 1 for event B2 [16]
b2-Threshold2NR,dBm,"1, 2, 3, 4, 5, 6",Note 2,SS-RSRP threshold for SS-RSRP measurement on cell 2 for event B2 [16]
Hysteresis,dB,"1, 2, 3, 4, 5, 6",0,
CP length,,"1, 2, 3, 4, 5, 6",Normal,
TimeToTrigger,s,"1, 2, 3, 4, 5, 6",0,
Filter coefficient,,"1, 2, 3, 4, 5, 6",0,L3 filtering is not used
DRX,,"1, 2, 3, 4, 5, 6",DRX.5,As specified in clause A.3.3
Time offset between serving and neighbour cells,,"1, 4",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"2, 3, 5, 6",3s,Synchronous cells.
T1,s,"1, 2, 3, 4, 5, 6",5,
T2,s,"1, 2, 3, 4, 5, 6",5,
NOTE 1:The value of b2-Threshold1 is defined in table A.8.4.2.9.1-3NOTE 2:The value of b2-Threshold2NR is defined in table A.8.4.2.9.1-4,,,,
