Parameter,Unit,Value,Comment
NR RF Channel Number,,1,HD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 1,MHz,"20 (NRB,c = 50) or40 (NRB,c = 100)",
SCS,kHz,30,
Traffic destination,,Cell 1 or Sidelink UE 1,Serving NR cell will broadcast SIB12. Sidelink UE 1 will use the configuration in SL-PreconfigurationNR.
Active Relay UEs,,"Relay UE 1, Relay UE 2",Transmitting relay discovery message
CP length of Cell 1 and Sidelink UE 1,,Normal,
T1,ms,100,
T2,s,"Up to receiving RRC reconfiguration setup complete from the UE, or up to 1 sec if UE does not transmit SidelinkUEInformationNR during this period.",
T3,s,1,
T4,s,2,
T5,s,1,
NOTE 1:The UE is only required to be tested in one of the supported test configurations.,,,
