Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel number,,1,
BWchannel,MHz,10,
OCNG Patterns defined in TS 36.133 clause A.3.2,,"OP.2 TDD for test configuration 1, 2, 3;OP.2 FDD for test configuration 4, 5, 6",
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
Qrxlevmin,dBm,-140,
Note 2,dBm/15 kHz,-98,
RSRP Note 3,dBm/15 KHz,-102,-86
,dB,-4,12
,dB,-4,12
TreselectionEUTRAN,s,0,
Snonintrasearch,dB,50,
"Threshx, high",dB,48,
"Threshserving, low",dB,44,
"Threshx, low",dB,50,
Propagation Condition,,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Void.,,,
