Parameter,Unit,"Active Sidelink UE i (i = 0, 1, 2, 3)",,
,,T1,T2,
NR RF Channel Number,,1,,
Channel Bandwidth (BWchannel) Note 7,MHz,"20 (NPRB,c = 50) or 40 (NPRB,c = 100)",,
PSCCH RMC (defined in A.3.21.3),,CC.1A HD,,
PSSCH RMC (defined in A.3.21.3),,CD.1A HD,,
Note1,dBm/30 kHz,-103,,
,dB,4.35,,10.32
"SL-RSSI1 Note 2,3",dBm/3.6 MHz,-76.5,,-71.5
"SL-RSSI2 Note 2,4",dBm/3.6 MHz,-82.21,,-82.21
"Io1 Note 2,5",dBm/18 MHz,-76.5,,-71.5
,dBm/36 MHz,-76.5,,-71.5
"Io2 Note 2,6",dBm/18 MHz,-82.21,,-82.21
,dBm/36 MHz,-82.21,,-82.21
Propagation Condition,-,AWGN,,
"NOTE 1:Interference from other UEs and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SL-RSSI1, SL-RSSI2, Io1 and Io2 levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:SL-RSSI1 is the SL-RSSI level measured on the slot# 0 - 3 with “SFN mod 5 = 0”.NOTE 4:SL-RSSI2 is the SL-RSSI level measured on the slot# 4-9 with “SFN mod 5 = 0” and the slot# 0-9 with “SFN mod 5 = 1,…, 4”.NOTE 5:Io1 is the Io level measured on the slot# 0 - 3 with “SFN mod 5 = 0”.NOTE 6:Io2 is the Io level measured on the slot# 4-9 with “SFN mod 5 = 0” and the slot# 0-9 with “SFN mod 5 = 1,…, 4”.NOTE 7:The UE is only required to be tested in one of the supported test configurations.",,,,
