Parameter,,Unit,Value,Comment
NR RF Channel Number,,,1,TDD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 2,,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",
SCS,,kHz,30,
V2X sidelink communication pre-configuration,,,As specified in table A.3.21.2-1 and A.3.21.2-3,IE values unless specified otherwise in this test.
sl-TimeResource-r16 included in SL-ResourcePool,,,1111111111,"Indicates the bitmap of the TX and Rx resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213[3])"
sl-NumSubchannel-r16 included in SL-ResourcePool,,,5,Indicates the number of sub-channels for TX resource pool
sl-SubchannelSize-r16 included in SL-ResourcePool,,,10,Indicates the minimum granularity in frequency domain for the sensing for PSSCH resource selection in the unit of PRB
Number of Active Sidelink UEs,,,50,"Active Sidelink UE i = 0, .., 49"
SL-ThresPSSCH-RSRP,,,12,Corresponding -106 dBm as defined in section 6.3.5 in TS38.331[2]
"Active Sidelink UEs (UE i = 0, .., 49)",V2X sidelink Communication preconfiguration,,As specified in table A.3.21.2-1And A.3.21.2-3,IE values unless specified otherwise in this test.
,sl-TimeResource-r16 included in SL-ResourcePool,,{1i} Note1,"Indicates the bitmap of the TX and Rx resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213[3])"
,sl-NumSubchannel-r16 included in SL-ResourcePool,,1,Indicates the number of sub-channels for TX resource pool
,sl-StartRB-Subchannel-r16 included in SL-ResourcePool,,floor(i/10)x10,Indicates the lowest PRB index of the subchannel with the lowest index.UE 0~9 start PRB=0;UE 10~19 start PRB=10;UE 20~29 start PRB=20;UE 30~39 start PRB=30;UE 40~49 start PRB=40;
,sl-SubchannelSize-r16 included in SL-ResourcePool,,10,Indicates the minimum granularity in frequency domain for the sensing for PSSCH resource selection in the unit of PRB
Timing offset among Active Sidelink UEs,,s,CP/2,Synchronous
"NOTE 1:{1i} is a sequence of nine 0’s with one 1 in (mod(i,10 )+1’th position.NOTE 2:The UE is only required to be tested in one of the supported test configurations.",,,,
