Parameter,,Unit,Value,Comment
SCS,,kHz,30,
Initial condition,Active synchronization source,,Sync Ref UE 1,DUT transmits for V2X Sidelink Communication and S-SSB with SLSS ID = 30 and in-coverage set as FALSE in MIB-SL.
T2 end condition,Active synchronization source,,Sync Ref UE 2,DUT transmits for V2X Sidelink Communication and S-SSB with SLSS ID = 336 and in-coverage set as FALSE in MIB-SL.
Final condition,Active synchronization source,,Sync Ref UE 3,UE transmits for V2X Sidelink Communication and S-SSB with SLSS ID = 0 and in-coverage set as FALSE in MIB-SL.
Active SyncRef UEs,,,SyncRef UE 1SyncRef UE 2SyncRef UE 3,Transmitting S-SSB on RF channel number 1 (HD carrier in Band n47 or n38)
Timing offset among SyncRef UEs,,s,CP/2,Synchronous
"Frequency offset of SyncRef UE 1,2,3",,ppm,0,
V2X sidelink Communication configuration,,,As specified in table A. 3.21.2-2,IE values unless specified otherwise in this test.
sl-SyncPriority,,,gnss,
syncTxThreshOoC,,,+infinity,syncTxThreshOoC
T1,,s,24,
T2,,s,16,
T3,,s,3.2,
