Parameter,Unit,Test configuration,Cell 2,,
,,,T1,T2,T3
TDD configuration,,"1, 2",TDDConf.3.1,,
PDSCH Reference measurement channel,,"1, 2",SR.3.1 TDD,,
RMSI CORESET Reference Channel,,"1, 2",CR.3.1 TDD,,
RMC CORESET Reference Channel,,"1, 2",CCR.3.1 TDD,,
OCNG Patterns,,"1, 2",OP.1,,
BWchannel,MHz,"1, 2",100,,
Data PRBs allocated,,"1, 2",66,,
SMTC configuration,,"1, 2",SMTC.1,,
SSB configuration,,"1, 2",SSB.1 FR2,,
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,,
RLM-RS,,,SSB,,
Qrxlevmin,,,-140,,
Pcompensation,,,0,,
Qhysts,,,0,,
"Qoffsets, n",,,0,,
Cell_selection_and_reselection_quality_measurement,,,SS-RSRP,,
AoA setup,,,Setup 1 defined in A.3.15.1,,
Beam assumptionNote 4,,,Rough,,
Note 5Es/Iot BB,dB,"1, 2",-infinity,-4.18,-4.18
Note2,dBm/SCS,"1, 2",-98,,
Note2,dBm/15kHz,"1, 2",-107,,
,dB,"1, 2",-infinity,-4,-4
SS-RSRP Note3,dBm/SCS,"1, 2",-infinity,-102,-102
SS-RSRQ Note3,dB,"1, 2",-infinity,-16.25,-16.25
Io,dBm/95.04 MHz,"1, 2",-69.01,-67.56,-67.56
Propagation Condition,,"1, 2",AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,
