Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 1,The UE camps on cell 1 in the initial phase
T1 end condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 2,The UE shall perform reselection to cell 2 during T1
,Neighbour cells,,"1, 2, 3, 4, 5, 6",Cell 1,
T2 end condition,Active cell,,"1, 2, 3, 4, 5, 6",Cell 1,The UE shall perform reselection to cell 1 during T2 for iteration of the tests.
,Neighbour cells,,"1, 2, 3, 4, 5, 6",Cell 2,
RF Channel Number,,,"1, 2, 3, 4, 5, 6","1, 2",E-UTRAN radio channel (1) and NR radio channel (2) are used for this test
Time offset between cells,,,"1, 4",3 ms,Asynchronous cells
,,,"2, 5",3 s,Synchronous cells
,,,"3, 6",3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3, 4, 5, 6",Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,"1, 2, 3, 4, 5, 6",0.32,The value shall be used for all cells in the test.
NR PRACH configuration index,,,"1, 2, 3, 4, 5, 6",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
T1,,s,"1, 2, 3, 4, 5, 6",15,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3, 4, 5, 6",75,T2 needs to be defined so that cell re-selection reaction time is taken into account.
