Parameter,Unit,Test,Value,Comment
,,configuration,,
Active cell,,"1, 2",E-UTRAN Cell 1,E-UTRA cell 1 is on E-UTRA RF channel number 1 as defined in clause A.3.7.2.2.
Neighbour cell,,"1, 2",NR Cell 2,Cell 2 is of higher priority.
E-UTRA RF Channel Number,,"1, 2",1,One E-UTRA carrier frequency is used.
NR RF Channel Number,,"1, 2",1,One FR2 NR carrier frequency is used.
DRX cycle length,s,"1, 2",1.28,
Time offset between Cell 1 and Cell 2,,"1, 2",3 s,
T1,s,"1, 2",0.5,
T2,s,"1, 2",128,
T3,s,"1, 2",2,
T331,s,"1, 2",300,
