Parameter,,Unit,Value,Comment
NR RF Channel Number,,,1,HD carrier in Band n47 and n38
Channel Bandwidth (BWchannel) Note 2,,MHz,"20 (NPRB,c = 50) or 40 (NPRB,c = 100)",
SCS,,kHz,30,
V2X sidelink communication pre-configuration,,,As specified in table A.3.21.2-2,IE values unless specified otherwise in this test.
sl-TimeResource-r16 included in SL-ResourcePool,,,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"Indicates the bitmap of the TX and Rx resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213[3])"
sl-NumSubchannel-r16 included in SL-ResourcePool,,,1,Indicates the number of sub-channels for TX resource pool
sl-SubchannelSize-r16 included in SL-ResourcePool,,,10,
sl-StartRB-Subchannel-r16,,,0,
Number of Active Sidelink UEs,,,130,"Active Sidelink UE i = 0, .., 129"
SL-Thres-RSRP-r16,,,13,Corresponding -104 dBm as defined in section 6.3.5 in TS38.331[2]
Active Sidelink UEs(UE i=0-99),V2X sidelink Communication preconfiguration,,As specified in table A.3.21.2-2,IE values unless specified otherwise in this test.
,sl-TimeResource-r16 included in SL-ResourcePool,,{1i}Note1,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213 [3])"
,sl-NumSubchannel-r16 included in SL-ResourcePool,,1,Indicates the number of sub-channels for TX resource pool
,sl-SubchannelSize-r16 included in SL-ResourcePool,,10,Indicates the size of sub-channels for TX resource pool
,sl-ResourceReservePeriod2-r16,ms,50,
Active Sidelink UEs(UE i= 100-129),V2X sidelink Communication preconfiguration,,As specified in table A.3.21.2-2,IE values unless specified otherwise in this test.
,sl-TimeResource-r16 included in SL-ResourcePool,,{1i}Note1,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213 [3])"
,sl-NumSubchannel-r16 included in SL-ResourcePool,,1,Indicates the number of sub-channels for TX resource pool
,sl-SubchannelSize included in SL-ResourcePool,,10,Indicates the size of sub-channels for TX resource pool
,sl-MultiReserveResource-r16,,enabled,
,sl-MaxNumPerReserve-r16,,n2,
,sl-ResourceReservePeriod2-r16,,0,Unit:ms
Timing offset among Active Sidelink UEs,,s,CP/2,Synchronous
T0,,s,1,
T1,,ms,50,
T2,,ms,50,
"NOTE 1:       {1i} is a sequence of ninety-nine 0’s with one 1 in (mod(i,100)+1)’th position.NOTE 2:     The UE is only required to be tested in one of the supported test configurations.",,,,
