Parameter,Unit,Test configuration,Value,Comment,
E-UTRA RF Channel Numbers,,"1, 2",1,One E-UTRA carrier frequency is used.,
NR RF Channel Numbers,,"1, 2",1,One FR2 NR carrier frequency is used.,
Active cell,,"1, 2",E-UTRA cell 1 (PCell),E-UTRA cell 1 is on E-UTRA RF channel number 1 as defined in clause A.3.7.2.2.,
Neighbour cell,,"1, 2",NR cell 2,NR cell 2 is on NR RF channel number 1.,
Gap Pattern Id,,"1, 2",0,As specified in clause Table 8.1.2.1-1 of TS 36.133 [15].,
Measurement gap offset,,"1, 2",39,As specified in TS 36.331 [16].,
b1-ThresholdNR,dBm,"1, 2",Note 1,SS-RSRP threshold for SS-RSRP measurement on cell 2 for event B1 [16],
Hysteresis,dB,"1, 2",0,,
CP length,,"1, 2",Normal,,
TimeToTrigger,s,"1, 2",0,,
Filter coefficient,,"1, 2",0,L3 filtering is not used,
DRX,,"1, 2",OFF,DRX is not used,
Time offset between serving and neighbour cells,,1,3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.,
,,2,3s,Synchronous cells.,
T1,s,"1, 2",5,,
T2,s,"1, 2",5,,
NOTE 1:The value of b1-ThresholdNR is defined in table A.8.4.2.7.1-3,,,,,
