Parameter,Unit,"Active Sidelink UE i(i = 0, .., 99)",
,,T1,T2
NR RF Channel Number,-,1,
Channel Bandwidth (BWchannel) Note 7,MHz,"20 (NPRB,c = 50) or 40 (NPRB,c = 100)",
PSCCH RMC (defined in A.3.21.3),-,CC.1A HD,
PSSCH RMC (defined in A.3.21.3),-,CD.1A HD,
Note1,dBm/SCS,-113,
PSSCH1  Note 3,dB,16,16
PSSCH2  Note 4,dB,2,2
PSSCH3  Note 5,dB,16,-infinity
PSSCH4  Note 6,dB,2,2
"PSSCH1  Note2,3",dB,16,[-0.11] Note 10
,,16,16 Note 11
"PSSCH2  Note2,4",dB,2,[-14.11]
"PSSCH3  Note2,5",dB,16,-infinity
"PSSCH4  Note2,6",dB,2,2
"PSSCH -RSRP1 Note 2, 3",dBm/SCS,-97,-97
"PSSCH -RSRP2 Note 2, 4",dBm/SCS,-111,-111
"PSSCH -RSRP3 Note 2, 5",dBm/SCS,-97,-infinity
"PSSCH -RSRP4 Note 2, 6",dBm/SCS,-111,-111
"Io Note 2, 8",dBm/18 MHz,-76.10,-76.10
,dBm/36 MHz,-76.10,-76.10
"Io Note 2, 9",dBm/18 MHz,-88.08,[-75.93]
,dBm/36 MHz,-88.08,[-75.93]
"Io Note 2, 10",dBm/18 MHz,-76.10,[-73.14]
,dBm/36 MHz,-76.10,[-73.14]
"Io Note 2, 11",dBm/18 MHz,-76.10,-76.10
,dBm/36 MHz,-76.10,-76.10
"Io Note 2, 12",dBm/18 MHz,-88.08,-88.08
,dBm/36 MHz,-88.08,-88.08
Antenna Configuration,-,1x2,
Propagation Condition,-,AWGN,
"NOTE 1:Interference from other UEs and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:, PSSCH-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:UE #50~64 and UE #85~99 will periodically occupy the subchannels on the slot with “#slot index mod 100” = #50-64 and #85-99.NOTE 4:UE #30~49 will periodically occupy the subchannels on the slot with “#slot index mod 100” = #30-49.NOTE 5:UE #0~29 will periodically occupy the subchannels on the slot with “#slot index mod 100” = #0-29.NOTE 6:UE #65~84 will periodically occupy the subchannels on the slot with “#slot index mod 100” = #65-84.NOTE 7:The UE is only required to be tested in one of the supported configurations.NOTE 8:Calculated on slot #0~29.NOTE 9:Calculated on slot #30~49.Note 10:Calculated on slot #50~59.Note 11:Calculated on slot #60~64 and slot #85~99.Note 12:Calculated on slot #65~84.",,,
