Parameter,Unit,Value,Comment
NR RF Channel Number,,1,HD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 1,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",
Resource pool configuration for sidelink discovery,,As specified in table A.3.21.2-2 Note 2,IE values unless specified otherwise in this test.
sl-TimeResource included in sl-DiscTxPoolSelected-r17 and sl-DiscRxPool-r17,,0000111100,"Indicates the bitmap of the TX and Rx resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213[3])"
sl-NumSubchannel included in sl-DiscTxPoolSelected-r17 and sl-DiscRxPool-r17,,2,Indicates the number of sub-channels for TX resource pool
sl-SubchannelSize included in sl-DiscTxPoolSelected-r17 and sl-DiscRxPool-r17,,10,Indicates the minimum granularity in frequency domain for the sensing for PSSCH resource selection in the unit of PRB
sl-ResourceReservePeriodList,s,0.04,Indicates the resource reservation period for discovery period
threshHighRemote within sl-remoteUE-Config,,-91 dBm,
sl-RSRP-Thresh within sl-remoteUE-Config,,-91 dBm,
NOTE 1:The UE is only required to be tested in one of the supported test configurations.NOTE 2:This test is according to the principle defined in section A.3.21.,,,
