Parameter,Unit,Value,Comment
Serving cell,,Cell 1,"NR PCell of the target UE and all anchor UEs (anchor UE 1, anchor UE 2), in FR1 on NR Uu RF channel 1. This cell is also the synchronization source for SL operation for all UEs in the test."
CP length,,Normal,
DRX,,OFF,
Measurement gap,,OFF,
Target UE,,UE 0,The UE performing SL Rx-Tx measurements based on SL-PRS transmissions from anchor UEs
Other anchor UEs,,UE 1 and UE 2,Anchor UE 1 and Anchor UE 2 appear at the first and second places in the anchor UE list SL-RTD-Info in the SL-RTT assistance data.
Number of anchor UEs provided in SL-RTT assistance data,,3,Including the target UE
Sidelink communication configuration,,As specified in table A.3.21.2-2,
Target UE antenna configuration,,1 x 2,
Timing offset between the anchor UEs at the target UE antenna connector,s,UE 2 to UE 1: 3,Synchronous transmissions
T1,s,3,The length of the time interval from the beginning of each test
T2,s,1.28,The length of the time interval that follows immediately after time interval T1
