Parameter,Unit,Value,Comment
Serving cell,,Cell 1,"NR PCell of the target UE and all anchor UEs (anchor UE 1, anchor UE 2), in FR1 on NR Uu RF channel 1. This cell is also the synchronization source for SL operation for all UEs in the test."
CP length,,Normal,
DRX,,OFF,
Measurement gap,,OFF,
Target UE,,UE 0,The UE performing SL RSTD measurements based on SL-PRS transmissions from anchor UEs
Reference anchor UE,,UE 1,"Reference anchor UE is the UE in the SL-TDOA assistance data with respect to which the SL RSTD measurement is defined, as specified in TS 38.215 [4] and TS 38.355 [37]. The reference anchor UE is UE 1 in this test case."
Other anchor UE,,UE 2,Anchor UE 2 appears at the second place in the anchor UE list SL-RTD-Info in the SL-TDOA assistance data.
Number of anchor UEs provided in SL-TDOA assistance data,,3,Including the target UE
Sidelink communication configuration,,As specified in table A.3.21.2-2,
Target UE antenna configuration,,1 x 2,
Timing offset between the anchor UEs at the target UE antenna connector,s,UE 2 to UE 1: 3,Synchronous transmissions
T1,s,3,The length of the time interval from the beginning of each test
T2,s,1.28,The length of the time interval that follows immediately after time interval T1
