Parameter,Unit,Relay UE 1,,,,,Relay UE 2,,,,
,,T1,T2,T3,T4,T5,T1,T2,T3,T4,T5
NR RF Channel Number,,1 (HD carrier in Band n47 or n38),,,,,,,,,
BWchannel Note 4,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",,,,,,,,,
SCS,kHz,30,,,,,,,,,
Sidelink Discovery resource pool configuration,,As specified in table A.9.1.7.1-2,,,,,,,,,
Transmission frequency,,Every discovery period (40 ms),,,,,,,,,
Resource allocation,,Non-overlapping PRBs,,,,,,,,,
Note1,dBm/30 kHz,-97,,,,,,,,,
,dB,-inf,-inf,10.5,10.5,-1.5,-inf,-inf,-inf,-inf,10.5
"SD-RSRP / SL-RSRP Note2, Note 3",dBm/30 kHz,-inf,-inf,-86.5,-86.5,-98.5,-inf,-inf,-inf,-inf,-86.5
Antenna Configuration,-,1x2,,,,,,,,,
Propagation Condition,,AWGN,,,,,,,,,
NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SD-RSRP / SL-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves. NOTE 3:PSCCH-DMRS Es/Iot is set the same as PSSCH-DMRS Es/Iot.NOTE 4:This test is according to the principle defined in section A.3.21.2.,,,,,,,,,,,
