Parameter,,,Unit,Test 1,,Test 2,
,,,,Cell 2,,Cell 2,
SSB ARFCN,,,,freq1,,freq1,
Duplex mode,,"Config 1,4",,FDD,,,
,,"Config 2,3,5,6",,TDD,,,
TDD configuration,,"Config 1,4",,Not Applicable,,,
,,"Config 2,5",,TDDConf.1.1,,,
,,"Config 3,6",,TDDConf.2.1,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,
DRX Cycle configuration,,,ms,Not Applicable,,,
PDSCH Reference measurement channel,,"Config 1,4",,-,,-,
,,"Config 2,5",,,,,
,,"Config 3,6",,,,,
RMSI CORESET Reference Channel,,"Config 1,4",,-,,-,
,,"Config 2,5",,,,,
,,"Config 3,6",,,,,
Dedicated CORESET Reference Channel,,"Config 1,4",,-,,-,
,,"Config 2,5",,,,,
,,"Config 3,6",,,,,
OCNG Patterns,,,,OP.1,,,
SS-RSSI-Measurement,,,,Not Applicable,,,
SMTC configruation,,,,SMTC.1,,,
SSB configuration,,"Config 1,2,4,5",,SSB.1 FR1,,,
,,"Config 3,6",,SSB.2 FR1,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2,4,5",kHz,15,,,
,,"Config 3,6",,30,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,"Config 1,2,3,4,5,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/15kHz,-94.65,,-117,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-116.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-116,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-115.5,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-115,
,,NR_FDD_FR1_F,,,,-114.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-114,
,,NR_FDD_FR1_H,,,,-113.5,
,,NR_FDD_FR1_N,,,,-110.5,
Note2,"Config 1,2,4,5",,dBm/SCS,-94.65,,Same as Noc for 15kHz,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-91.65,,-114,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-113.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-113,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,-112.5,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,-112,
,,NR_FDD_FR1_F,,,,-111.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-111,
,,NR_FDD_FR1_H,,,,-110.5,
,,NR_FDD_FR1_N,,,,-107.5,
,,,dB,10,,-4,
,,,dB,10,,-4,
