Parameter,,Unit,Value,Comment
RF Channel Number,,,1,HD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 3,,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",
SCS,,kHz,30,
Active cell,,,None,
Active SyncRef UE,,,SyncRef UE 1,Transmitting S-SSB on RF channel number 1
V2X sidelink communication preconfiguration,,,As specified in section A.3.21.2,IE values unless specified otherwise in this test.
PSCCH Reference Measurement Channel,,,CC.1A HD,As specified in table A.3.21.3-1
PSSCH Reference Measurement Channel,,,CD.1A HD,As specified in table A.3.21.3-2
"Note1,2",,dBm/30kHz,-95,
SyncRef UE 1,sl-SSB-TimeAllocation,,sl-SSB-TimeAllocation1,
,slssid,,30,
,inCoverage,,TRUE,In MIB-SL
,networkControlledSyncTx,,ON,
,V2X sidelink communication configuration,,As specified in section A.3.21.2,IE values unless specified otherwise in this test.
,,,3,
,"PSBCH-RSRP Note1, Note 2",dBm/30kHz,-92,
Propagation condition,,,AWGN,
NOTE 1:PSBCH-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:S-PSS Es/Noc and S-SSS Es/Noc are set the same as PSBCH Es/Noc.NOTE 3:The UE is only required to be tested in one of the supported test configurations.,,,,
