Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
E-UTRA RF Channel Number,,"Config 1,2,3,4,5,6",1,,One E-UTRAN carrier frequencies is used.
NR RF Channel Number,,"Config 1,2,3,4,5,6",1,,One NR FR1 carrier frequencies is used.
Active cell,,"Config 1,2,3,4,5,6",Cell 1,,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,"Config 1,2,3,4,5,6",Cell 2,,Cell 2 is on NR RF channel number 1.
SSB configuration,,"Config 1,4",SSB.1 FR1,,As specified in clause A.3.10.1
,,"Config 2,5",SSB.1 FR1,,As specified in clause A.3.10.1
,,"Config 3,6",SSB.2 FR1,,As specified in clause A.3.10.1
CP length,,"Config 1,2,3,4,5,6",Normal,,Applicable to both cells.
DRX,,"Config 1,2,3,4,5,6",DRX.4,,DRX configuration as specified in clause A.3.3.4
Frame time offset between serving and neighbour cells,ms,"Config 1,2,4,5",3,7,Asynchronous cells.The timing of Cell 2 relative to the timing of Cell 1.
,s,"Config 3,6",3,,Synchronous cells.
SFN offset between serving and neighbour cells,,"Config 1,2,3,4,5,6",0,1,SFN of Cell 2 relative to SFN of Cell 1.
T1,s,"Config 1,2,3,4,5,6",1,,
