Parameter,,Unit,Test configuration,Cell 2,
,,,,T1,T2
AoA setup defined in A.3.15.2.1,,,"1, 2",Setup 2a,
Assumption for UE beamsNote 5,,,"1, 2",Rough,
NR RF Channel Number,,,"1, 2",1,
Duplex mode,,,"1, 2",TDD,
TDD configuration,,,"1, 2",TDDConf.3.1,
BWchannel,,MHz,"1, 2","100: NPRB,c = 24",
OCNG patterns defined in A.3.2.1.1,,,"1, 2",OP. 3,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,,1,SMTC.2,
,,,2,SMTC.1,
PDSCH/PDCCH subcarrier spacing,,kHz,"1, 2",120,
b1-ThresholdNR,UE power class 3,dBm/SCS,"1, 2",-112,
EPRE ratio of PSS to SSS,,,"1, 2",0,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Ês,,dBm/SCS,"1, 2",- Infinity,-80.6
SS B_RP Note 3,,dBm/SCS,"1, 2",-Infinity,-80.6
BB Note 6,,dB,"1, 2",-Infinity,8.3
IoNote3,,dBm/95.04 MHz,"1, 2",-Infinity,-56.0
Propagation Condition,,,"1, 2",AWGN,
"NOTE 1:OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:SS B_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementationNOTE 6:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,
