Parameter,,Unit,Value,Comment
RF Channel Number,,-,1,HD carrier in Band n47 or n38
Channel Bandwidth (BWchannel) Note 1,,MHz,"20 (NPRB,c = 50) or40 (NPRB,c = 100)",
Sidelink Communication configuration,,-,As specified in section A.3.21.2,IE values unless specified otherwise in this test.
sl-TimeResource,,-,0000000011,"Indicates the bitmap of the TX and Rx resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 38.213[3])"
Number of Active Sidelink Relay UEs,,-,2,"Active Sidelink UE i = 0, 1"
"Active Sidelink Relay UEs (UE i = 0, 1) and Sidelink UE 1Note 2",PSCCH Reference Measurement Channel,-,CC.1A HD,As specified in table A.3.21.3-1
,PSSCH Reference Measurement Channel,-,CD.1A HD,As specified in table A.3.21.3-2
,sl-NumSubchannel-r16 included in SL-ResourcePool,-,1,Indicates the number of sub-channels for TX resource pool
,sl-SubchannelSize-r16 included in SL-ResourcePool,,10,Indicates the minimum granularity in frequency domain for the sensing for PSSCH resource selection in the unit of PRB
,sl-StartRB-Subchannel-r16 included in SL-ResourcePool,-,floor(i)x10,Indicates the lowest PRB index of the subchannel with the lowest index for Sidelink Relay UE i = 0 starts PRB=0;Sidelink Relay UE i = 1 starts PRB=10. Sidelinke UE 1 i = 2 starts PRB=20.
,PSBCH-RSRP,dBm/30kHz,-95,
NOTE 1: The UE is only required to be tested in one of the supported test configurations.NOTE 2: The parameters for Sidelink UE 1 are applicable only when it exists.,,,,
