Parameter,Unit,SyncRef UE 1,,,SyncRef UE 2,,,SyncRef UE 3,,
,,T1,T2,T3,T1,T2,T3,T1,T2,T3
NR RF Channel Number,,1(HD carrier in Band n47 or n38),,,,,,,,
Channel Bandwidth (BWchannel) Note 4,MHz,"20 (NPRB,c = 50) or 40 (NPRB,c = 100)",,,,,,,,
V2X Sidelink Communication resource pool configuration,,As specified in table A.3.21.2-2,,,,,,,,
networkControlledSyncTx,,ON,,,N/A,,,ON,,
syncTxThreshOoC,dBm/15 kHz,N/A,,,+infinity,,,N/A,,
SLSSID,,30,,,0,,,0,,
inCoverage (in MIB-SL),,TRUE,,,FALSE,,,TRUE,,
Note1,dBm/30 kHz,-95,,,,,,,,
,dB,0,0,0,-infinity,0,0,-infinity,-infinity,3
Note2,dB,0,0,-4.76,-infinity,0,0,-infinity,-infinity,0
"PSBCH-RSRPNote2, Note 3",dBm/30 kHz,-95,-95,-95,-infinity,-95,-95,-infinity,-infinity,-92
Io Note2,dBm/18 MHz,-70.78,-70.78,-67.78,-73.79,-70.78,-70.78,-70.78,-70.78,-67.78
,dBm/36 MHz,-70.78,-70.78,-67.78,-73.79,-70.78,-70.78,-70.78,-70.78,-67.78
Propagation Condition,,AWGN,,,,,,,,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:Es/Iot, Io, PSBCH-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:S-PSS Es/Iot and S-SSS Es/Iot are set the same as PSBCH Es/Iot.NOTE 4:The UE is only required to be tested in one of the supported test configurations.",,,,,,,,,,
