Parameter,Unit,Test configuration,Cell 2
NR RF Channel Number,,"Config 1,2,3,4,5,6",1
Duplex mode,,"Config 1,4",FDD
,,"Config 2,3,5,6",TDD
BWchannel,MHz,"Config 1,4","10: NPRB,c = 52"
,,"Config 2,5","10: NPRB,c = 52"
,,"Config 3,6","40: NPRB,c = 106"
TDD configuration,,"Config 2,5",TDDConf.1.1
,,"Config 3,6",TDDConf.2.1
OCNG Pattern defined in A.3.2.1.1,,"Config 1,2,3,4,5,6",OP.1
SMTC configuration,,"Config 1,2,3,4,5,6",SMTC.1
PDSCH/PDCCH subcarrier spacing,kHz,"Config 1,2,4,5",15
,,"Config 3,6",30
EPRE ratio of PSS to SSS,dB,"Config 1,2,3,4,5,6",0
EPRE ratio of PBCH DMRS to SSS,dB,,
EPRE ratio of PBCH to PBCH DMRS,dB,,
EPRE ratio of OCNG DMRS to SSS Note 1,dB,,
EPRE ratio of OCNG to OCNG DMRS Note 1,dB,,
Noc Note2,dBm/15kHz,,-98
Noc Note2,dBm/SCS,"Config 1,2,4,5",-98
,,"Config 3,6",-95
"SS-RSRP Note 3, 4",dBm/SCS,"Config 1,2,4,5",-94
,,"Config 3,6",-91
Ês/Iot,dB,"Config 1,2,3,4,5,6",4
Ês/Noc,dB,"Config 1,2,3,4,5,6",4
Io Note 3,dBm/9.36 MHz,"Config 1,2,4,5",-64.59
,dBm/38.16 MHz,"Config 3,6",-58.50
Propagation Condition,,"Config 1,2,3,4,5,6",AWGN
NOTE 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,
