Parameter,Unit,Test configuration,Value,Comment,
,,,,,
E-UTRA RF Channel Number,,"1, 2, 3, 4, 5, 6",1,One E-UTRAcarrier frequency is used.,
NR RF Chanel Number,,"1, 2, 3, 4, 5, 6",1,One FR1 NR carrier frequency is used.,
Active cell,,"1, 2, 3, 4, 5, 6",E-UTRA Cell 1 (PCell),E-UTRA Cell 1 is on E-UTRA RF channel number 1.,
Neighbour cell,,"1, 2, 3, 4, 5, 6",NR Cell 2,NR Cell 2 is on NR RF channel number 1.,
b1-ThresholdNR,dBm,"1, 2, 3, 4, 5, 6",Note 1,SS-RSRP threshold for SS-RSRP measurement on cell 2 for event B1 [16],
Hysteresis,dB,"1, 2, 3, 4, 5, 6",0,,
CP length,,"1, 2, 3, 4, 5, 6",Normal,,
TimeToTrigger,s,"1, 2, 3, 4, 5, 6",0,,
Filter coefficient,,"1, 2, 3, 4, 5, 6",0,L3 filtering is not used,
DRX,,"1, 2, 3, 4, 5, 6",OFF,DRX is not used,
Time offset between serving and neighbour cells,,"1, 4",3 ms,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.,
,,"2, 3, 5, 6",3s,Synchronous cells.,
T1,s,"1, 2, 3, 4, 5, 6",5,,
T2,s,"1, 2, 3, 4, 5, 6",2,,
NOTE 1:The value of b1-ThresholdNR is defined in table A.8.4.3.2.1-4,,,,,
