Parameter,Unit,"Active Sidelink UE i(i = 100, .., 129)",
,,T1,T2
NR RF Channel Number,-,1,
Channel Bandwidth (BWchannel) Note 4,MHz,"20 (NPRB,c = 50) or 40 (NPRB,c = 100)",
PSCCH RMC (defined in A.3.21.3),-,CC.1A HD,
PSSCH RMC (defined in A.3.21.3),-,CD.1 A HD,
Note1,dBm/SCS,-103,
PSSCH,dB,-infinity,16
PSSCH  Note2,dB,-infinity,16 Note 5
,,-infinity,[11.88] Note 6
,,-infinity,[-0.11] Note 7
"PSSCH-RSRP Note 2, Note 3",dBm/SCS,-infinity,-97
"Io Note 2, 5",dBm/18 MHz,-76.10,-76.10
,dBm/36 MHz,-76.10,-76.10
"Io Note 2, 6",dBm/18 MHz,-88.08,[-75.93]
,dBm/36 MHz,-88.08,[-75.93]
"Io Note 2, 7",dBm/18 MHz,-76.10,[-73.14]
,dBm/36 MHz,-76.10,[-73.14]
Antenna Configuration,-,1x2,
Propagation Condition,-,AWGN,
"NOTE 1:Interference from other UEs and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:Es/Iot, PSSCH-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:UE #100~129 will occupy the subchannels on the slots with “#slot index mod 100”= #0-29 during T2.NOTE 4:The UE is only required to be tested in one of the supported configurations.NOTE 5:Calculated on slot #0~29.NOTE 6:Calculated on slot #30~49.NOTE 7:Calculated on slot #50~59.",,,
