Parameter,,Unit,Value,Comment
NR Uu RF channel number,,,1,RF channel of Cell 1.
DRX,,,OFF,
OCNG Patterns,,,OP.1,
EPRE ratio of PSS to SSS,,dB,0,
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSS Note 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Note2,"Config 1,2,3",dBm/15 kHz,-110,
,"Config 1, 2",dBm /SCS,-110,
,Config 3,,-107,
SSB,,dB,4.5,
SSB,,dB,4.5,
SS-RSRPNote3,"Config 1,2",dBm /SCS,-105.5,
,Config 3,,-102.5,
IoNote3,"Config 1,2",dBm/ 19.08MHz,-73.1,
,Config 3,dBm/ 38.16MHz,-70.1,
Propagation condition,,,AWGN,
NOTE 1:OCNG shall be used such that cell 1 is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.,,,,
