"""Reception Type""",Physical Channel(s),MonitoredRNTI,AssociatedTransport Channel,Comment
A,PBCH,N/A,BCH,
B,PDCCH+PDSCH,SI-RNTI,DL-SCH,Note 1
C0,PDCCH,P-RNTI,N/A,"Note 1, Note 2"
C1,PDCCH+PDSCH,P-RNTI,PCH,Note 1
D0,PDCCH+PDSCH,RA-RNTI or Temporary C-RNTI or  MsgB-RNTI,DL-SCH,Note 3
D1,PDCCH+PDSCH,"C-RNTI, CS-RNTI, MCS-C-RNTI",DL-SCH,
D2,PDCCH,"C-RNTI, CS-RNTI, MCS-C-RNTI",DL-SCH,
D3,PDCCH+PDSCH,"G-RNTI, G-CS-RNTI",DL-SCH,Note 6
D4,PDCCH,G-CS-RNTI,N/A,Note 7
D5,PDCCH+PDSCH,MCCH-RNTI,DL-SCH,Note 8
D6,PDCCH+PDSCH,G-RNTI,DL-SCH,Note 9
D7,PDCCH+PDSCH,C-RNTI,DL-SCH,Note 10
D8,PDCCH+PDSCH,Multicast MCCH-RNTI,DL-SCH,Note 11
E,PDCCH,C-RNTI,N/A,Note 4
F0,PDCCH,Temporary C-RNTI,UL-SCH,Note 3
F1,PDCCH,"C-RNTI, CS-RNTI, MCS-C-RNTI",UL-SCH,
F2,PDCCH,"C-RNTI, CS-RNTI",UL-SCH,Note 10
G,PDCCH,SFI-RNTI,N/A,
H,PDCCH,INT-RNTI,N/A,
J0,PDCCH,TPC-PUSCH-RNTI,N/A,
J1,PDCCH,TPC-PUCCH-RNTI,N/A,
J2,PDCCH,TPC-SRS-RNTI,N/A,
K,PDCCH,SP-CSI-RNTI,N/A,
L0,PDCCH,SL-RNTI,SL-SCH,
L1,PDCCH,SL-CS-RNTI,SL-SCH,
M,PDCCH,SL Semi-Persistent Scheduling V-RNTI,SL-SCH,Note 5
N,PDCCH,PS-RNTI,N/A,
O,PDCCH,AI-RNTI,N/A,
P,PDCCH,CI-RNTI,N/A,
Q,PDCCH,PEI-RNTI,N/A,Note 1
Note 1:These are received from PCell only.Note 2:In some cases UE is only required to monitor the short message within the DCI for P-RNTI.Note 3:These are received from PCell or PSCell.Note 4:This corresponds to PDCCH-ordered PRACH. Note 5:This corresponds to PDCCH scheduling LTE PC5.Note 6:This is for multicast in RRC connected state.Note 7:This corresponds to DL Semi-Persistent Scheduling release for multicast in RRC connected state.Note 8:This is for broadcast MCCH. Note 9:This is for broadcast MTCH. UE is not required to decode more than one PDSCH for MTCH simultaneously.Note 10:This is for small data transmission in RRC inactive state.Note 11: This is for multicast MCCH in RRC inactive state.,,,,
